              #x                      Variace                 Variace                 Variace                 Variace
            0.007500                 6.070116                19.724198                34.407097                46.704664     
            0.022500                 6.447602                20.937706                36.493899                49.490308     
            0.037500                 6.834551                22.167292                38.575193                52.216295     
            0.052500                 7.230740                23.410672                40.643709                54.868254     
            0.067500                 7.635939                24.665546                42.692318                57.432631     
            0.082500                 8.049913                25.929601                44.714060                59.896788     
            0.097500                 8.472424                27.200522                46.702184                62.249100     
            0.112500                 8.903226                28.475988                48.650173                64.479040     
            0.127500                 9.342069                29.753686                50.551775                66.577252     
            0.142500                 9.788700                31.031311                52.401033                68.535615     
            0.157500                10.242861                32.306574                54.192312                70.347289     
            0.172500                10.704287                33.577204                55.920321                72.006761     
            0.187500                11.172711                34.840956                57.580138                73.509862     
            0.202500                11.647863                36.095615                59.167228                74.853785     
            0.217500                12.129468                37.338999                60.677464                76.037080     
            0.232500                12.617246                38.568969                62.107145                77.059645     
            0.247500                13.110915                39.783427                63.453003                77.922697     
            0.262500                13.610188                40.980327                64.712223                78.628737     
            0.277500                14.114778                42.157672                65.882445                79.181496     
            0.292500                14.624392                43.313527                66.961774                79.585879     
            0.307500                15.138734                44.446017                67.948783                79.847893     
            0.322500                15.657507                45.553333                68.842515                79.974563     
            0.337500                16.180410                46.633736                69.642481                79.973848     
            0.352500                16.707141                47.685560                70.348658                79.854541     
            0.367500                17.237394                48.707217                70.961479                79.626167     
            0.382500                17.770863                49.697199                71.481831                79.298875     
            0.397500                18.307238                50.654081                71.911037                78.883324     
            0.412500                18.846209                51.576524                72.250847                78.390566     
            0.427500                19.387463                52.463279                72.503423                77.831930     
            0.442500                19.930688                53.313188                72.671320                77.218905     
            0.457500                20.475569                54.125187                72.757465                76.563018     
            0.472500                21.021790                54.898306                72.765138                75.875722     
            0.487500                21.569035                55.631676                72.697951                75.168278     
            0.502500                22.116987                56.324525                72.559816                74.451652     
            0.517500                22.665328                56.976180                72.354927                73.736407     
            0.532500                23.213742                57.586072                72.087728                73.032608     
            0.547500                23.761910                58.153733                71.762885                72.349728     
            0.562500                24.309515                58.678798                71.385257                71.696570     
            0.577500                24.856240                59.161004                70.959868                71.081191     
            0.592500                25.401769                59.600194                70.491870                70.510835     
            0.607500                25.945785                59.996310                69.986518                69.991886     
            0.622500                26.487973                60.349400                69.449136                69.529816     
            0.637500                27.028020                60.659612                68.885085                69.129156     
            0.652500                27.565612                60.927194                68.299730                68.793474     
            0.667500                28.100439                61.152496                67.698415                68.525363     
            0.682500                28.632191                61.335964                67.086424                68.326439     
            0.697500                29.160559                61.478142                66.468957                68.197352     
            0.712500                29.685238                61.579667                65.851100                68.137809     
            0.727500                30.205924                61.641271                65.237793                68.146605     
            0.742500                30.722315                61.663773                64.633809                68.221659     
            0.757500                31.234112                61.648083                64.043722                68.360069     
            0.772500                31.741020                61.595193                63.471888                68.558168     
            0.787500                32.242744                61.506177                62.922420                68.811591     
            0.802500                32.738993                61.382190                62.399167                69.115345     
            0.817500                33.229481                61.224460                61.905694                69.463887     
            0.832500                33.713924                61.034287                61.445267                69.851213     
            0.847500                34.192041                60.813041                61.020836                70.270936     
            0.862500                34.663554                60.562153                60.635025                70.716383     
            0.877500                35.128191                60.283116                60.290114                71.180682     
            0.892500                35.585684                59.977479                59.988039                71.656856     
            0.907500                36.035766                59.646843                59.730380                72.137916     
            0.922500                36.478178                59.292856                59.518356                72.616946     
            0.937500                36.912662                58.917207                59.352827                73.087196     
            0.952500                37.338968                58.521625                59.234293                73.542163     
            0.967500                37.756849                58.107873                59.162892                73.975673     
            0.982500                38.166063                57.677741                59.138413                74.381951     
            0.997500                38.566372                57.233045                59.160295                74.755695     
            1.012500                38.957545                56.775617                59.227640                75.092132     
            1.027500                39.339355                56.307306                59.339225                75.387075     
            1.042500                39.711582                55.829968                59.493512                75.636967     
