              #x                      funcval                 funcval                 funcval                 funcval
            0.007500                 0.263503                 0.470267                 0.604620                 0.684236     
            0.022500                 0.271573                 0.484450                 0.622340                 0.703409     
            0.037500                 0.279603                 0.498337                 0.639150                 0.720644     
            0.052500                 0.287593                 0.511919                 0.655024                 0.735894     
            0.067500                 0.295541                 0.525189                 0.669939                 0.749117     
            0.082500                 0.303447                 0.538137                 0.683873                 0.760276     
            0.097500                 0.311308                 0.550757                 0.696807                 0.769340     
            0.112500                 0.319125                 0.563040                 0.708720                 0.776285     
            0.127500                 0.326895                 0.574979                 0.719595                 0.781091     
            0.142500                 0.334618                 0.586566                 0.729417                 0.783746     
            0.157500                 0.342293                 0.597795                 0.738171                 0.784241     
            0.172500                 0.349918                 0.608659                 0.745844                 0.782576     
            0.187500                 0.357492                 0.619150                 0.752426                 0.778754     
            0.202500                 0.365015                 0.629263                 0.757906                 0.772788     
            0.217500                 0.372484                 0.638992                 0.762277                 0.764692     
            0.232500                 0.379900                 0.648330                 0.765531                 0.754490     
            0.247500                 0.387261                 0.657272                 0.767665                 0.742209     
            0.262500                 0.394566                 0.665812                 0.768675                 0.727883     
            0.277500                 0.401813                 0.673945                 0.768559                 0.711552     
            0.292500                 0.409003                 0.681666                 0.767319                 0.693261     
            0.307500                 0.416133                 0.688971                 0.764955                 0.673060     
            0.322500                 0.423203                 0.695854                 0.761471                 0.651004     
            0.337500                 0.430211                 0.702312                 0.756873                 0.627155     
            0.352500                 0.437158                 0.708341                 0.751166                 0.601579     
            0.367500                 0.444041                 0.713937                 0.744360                 0.574345     
            0.382500                 0.450860                 0.719097                 0.736464                 0.545529     
            0.397500                 0.457613                 0.723817                 0.727490                 0.515210     
            0.412500                 0.464300                 0.728095                 0.717451                 0.483471     
            0.427500                 0.470921                 0.731928                 0.706361                 0.450401     
            0.442500                 0.477472                 0.735313                 0.694238                 0.416089     
            0.457500                 0.483955                 0.738249                 0.681098                 0.380632     
            0.472500                 0.490368                 0.740734                 0.666961                 0.344126     
            0.487500                 0.496710                 0.742766                 0.651847                 0.306672     
            0.502500                 0.502979                 0.744344                 0.635779                 0.268373     
            0.517500                 0.509176                 0.745468                 0.618781                 0.229334     
            0.532500                 0.515299                 0.746135                 0.600876                 0.189664     
            0.547500                 0.521348                 0.746347                 0.582092                 0.149471     
            0.562500                 0.527321                 0.746102                 0.562456                 0.108867     
            0.577500                 0.533218                 0.745401                 0.541997                 0.067962     
            0.592500                 0.539038                 0.744245                 0.520743                 0.026871     
            0.607500                 0.544779                 0.742634                 0.498728                -0.014295     
            0.622500                 0.550442                 0.740569                 0.475982                -0.055421     
            0.637500                 0.556025                 0.738052                 0.452540                -0.096395     
            0.652500                 0.561527                 0.735083                 0.428435                -0.137103     
            0.667500                 0.566949                 0.731665                 0.403703                -0.177433     
            0.682500                 0.572288                 0.727800                 0.378380                -0.217275     
            0.697500                 0.577544                 0.723490                 0.352502                -0.256518     
            0.712500                 0.582717                 0.718738                 0.326109                -0.295054     
            0.727500                 0.587805                 0.713546                 0.299239                -0.332778     
            0.742500                 0.592808                 0.707919                 0.271930                -0.369584     
            0.757500                 0.597725                 0.701858                 0.244223                -0.405373     
            0.772500                 0.602556                 0.695369                 0.216159                -0.440044     
            0.787500                 0.607300                 0.688455                 0.187778                -0.473504     
            0.802500                 0.611955                 0.681120                 0.159123                -0.505659     
            0.817500                 0.616522                 0.673369                 0.130234                -0.536420     
            0.832500                 0.621000                 0.665206                 0.101155                -0.565704     
            0.847500                 0.625388                 0.656637                 0.071927                -0.593430     
            0.862500                 0.629685                 0.647666                 0.042595                -0.619521     
            0.877500                 0.633892                 0.638299                 0.013200                -0.643905     
            0.892500                 0.638006                 0.628543                -0.016215                -0.666515     
            0.907500                 0.642028                 0.618402                -0.045605                -0.687289     
            0.922500                 0.645957                 0.607883                -0.074929                -0.706169     
            0.937500                 0.649793                 0.596993                -0.104143                -0.723104     
            0.952500                 0.653534                 0.585738                -0.133205                -0.738047     
            0.967500                 0.657181                 0.574125                -0.162071                -0.750956     
            0.982500                 0.660733                 0.562160                -0.190701                -0.761797     
            0.997500                 0.664189                 0.549853                -0.219051                -0.770539     
            1.012500                 0.667549                 0.537209                -0.247081                -0.777158     
            1.027500                 0.670812                 0.524237                -0.274748                -0.781636     
            1.042500                 0.673978                 0.510945                -0.302014                -0.783961     
            1.057500                 0.677047                 0.497340                -0.328837                -0.784126     
            1.072500                 0.680017                 0.483431                -0.355179                -0.782131     
            1.087500                 0.682889                 0.469227                -0.381002                -0.777981     
            1.102500                 0.685662                 0.454736                -0.406266                -0.771688     
            1.117500                 0.688336                 0.439967                -0.430935                -0.763269     
            1.132500                 0.690911                 0.424929                -0.454974                -0.752747     
            1.147500                 0.693385                 0.409632                -0.478347                -0.740151     
            1.162500                 0.695759                 0.394084                -0.501019                -0.725517     
            1.177500                 0.698032                 0.378295                -0.522958                -0.708883     
            1.192500                 0.700204                 0.362275                -0.544131                -0.690297     
            1.207500                 0.702274                 0.346034                -0.564507                -0.669809     
            1.222500                 0.704243                 0.329581                -0.584058                -0.647475     
            1.237500                 0.706111                 0.312927                -0.602753                -0.623358     
            1.252500                 0.707875                 0.296081                -0.620565                -0.597524     
