#cell center,       ave flux,        flux dev
      0.0300000      2.8241048      0.9517384
      0.0900000      2.7371667      0.9705733
      0.1500000      2.6431349      0.9882969
      0.2100000      2.5326810      0.9901138
      0.2700000      2.5393772      1.0254820
      0.3300000      2.5075913      1.0501583
      0.3900000      2.4790009      1.0419454
      0.4500000      2.3487268      1.0524396
      0.5100000      2.3497029      1.0954855
      0.5700000      2.3304654      1.0604507
      0.6300000      2.2058505      1.0715802
      0.6900000      2.1822101      1.0051369
      0.7500000      2.1138223      1.0817310
      0.8100000      2.1111943      1.0791941
      0.8700000      2.0755423      1.0767345
      0.9300000      1.9643003      1.0660072
      0.9900000      1.9541810      1.0203753
      1.0500000      1.9275965      1.0482740
      1.1100000      1.8840521      1.0217715
      1.1700000      1.8568608      1.0232487
      1.2300000      1.8745069      1.0231545
      1.2900000      1.7593884      1.0023675
      1.3500000      1.7241423      0.9814025
      1.4100000      1.7518577      1.0199081
      1.4700000      1.6807627      1.0171501
      1.5300000      1.6606525      1.0094869
      1.5900000      1.5822740      0.9770934
      1.6500000      1.5987444      0.9459378
      1.7100000      1.4858935      0.9311176
      1.7700000      1.4634936      0.9331122
      1.8300000      1.4303984      0.9212189
      1.8900000      1.4136605      0.9322530
      1.9500000      1.4058976      0.9097962
      2.0100000      1.3186938      0.8568645
      2.0700000      1.2814118      0.8825498
      2.1300000      1.2305675      0.8485494
      2.1900000      1.2048720      0.8174059
      2.2500000      1.1927729      0.8398254
      2.3100000      1.1285439      0.8206549
      2.3700000      1.1206920      0.8112872
      2.4300000      1.0892689      0.7770732
      2.4900000      1.0635227      0.7819402
      2.5500000      1.0358593      0.7706746
      2.6100000      1.0579271      0.7482740
      2.6700000      0.9706125      0.7017471
      2.7300000      0.9522212      0.7160771
      2.7900000      0.8919469      0.6905933
      2.8500000      0.8198356      0.6160614
      2.9100000      0.7832803      0.5995468
      2.9700000      0.7835393      0.5879188
