#cell center,       ave flux,        flux dev
      0.0300000      2.7891228      0.1520838
      0.0900000      2.7082043      0.1723391
      0.1500000      2.6373719      0.1863787
      0.2100000      2.5748634      0.2018896
      0.2700000      2.5152283      0.2142975
      0.3300000      2.4592036      0.2246648
      0.3900000      2.4039430      0.2354504
      0.4500000      2.3566845      0.2445025
      0.5100000      2.3042609      0.2505158
      0.5700000      2.2560699      0.2573095
      0.6300000      2.2111801      0.2633312
      0.6900000      2.1642381      0.2689358
      0.7500000      2.1204820      0.2720847
      0.8100000      2.0750552      0.2744962
      0.8700000      2.0336064      0.2761090
      0.9300000      1.9896652      0.2775686
      0.9900000      1.9478633      0.2797443
      1.0500000      1.9092718      0.2801130
      1.1100000      1.8671833      0.2794379
      1.1700000      1.8270006      0.2814666
      1.2300000      1.7904318      0.2807823
      1.2900000      1.7505376      0.2811863
      1.3500000      1.7125008      0.2787173
      1.4100000      1.6753723      0.2764201
      1.4700000      1.6400286      0.2772051
      1.5300000      1.6022328      0.2749453
      1.5900000      1.5664387      0.2735013
      1.6500000      1.5294577      0.2685586
      1.7100000      1.4946299      0.2658992
      1.7700000      1.4569924      0.2644484
      1.8300000      1.4235870      0.2608810
      1.8900000      1.3875167      0.2557368
      1.9500000      1.3527303      0.2536319
      2.0100000      1.3172913      0.2483305
      2.0700000      1.2838798      0.2448629
      2.1300000      1.2503445      0.2406981
      2.1900000      1.2149047      0.2358482
      2.2500000      1.1820384      0.2303727
      2.3100000      1.1475386      0.2253748
      2.3700000      1.1150361      0.2214884
      2.4300000      1.0801438      0.2157316
      2.4900000      1.0449680      0.2088829
      2.5500000      1.0100301      0.2050417
      2.6100000      0.9765201      0.1987061
      2.6700000      0.9414028      0.1914008
      2.7300000      0.9056130      0.1865191
      2.7900000      0.8697094      0.1794250
      2.8500000      0.8329375      0.1736813
      2.9100000      0.7916521      0.1666686
      2.9700000      0.7468750      0.1583954
