#         tranbounds      trancounts        reflbounds        relfcounts
        0.1431729795        0.0000000000        0.1894293897        0.0000000000
        0.1557691385        0.0000000000        0.1975383692        0.0000000000
        0.1683652974        0.0000000000        0.2056473487        0.0000000000
        0.1809614564        0.0793892807        0.2137563282        0.1233200801
        0.1935576154        0.0000000000        0.2218653077        0.4932803205
        0.2061537744        0.0793892807        0.2299742872        0.0000000000
        0.2187499333        0.1587785613        0.2380832667        0.0000000000
        0.2313460923        0.7938928066        0.2461922462        0.6166004006
        0.2439422513        0.7938928066        0.2543012256        1.3565208813
        0.2565384103        1.0320606485        0.2624102051        1.6031610415
        0.2691345692        1.1114499292        0.2705191846        0.9865606409
        0.2817307282        1.5083963325        0.2786281641        2.2197614420
        0.2943268872        1.2702284905        0.2867371436        1.6031610415
        0.3069230462        1.9847320164        0.2948461231        2.9596819227
        0.3195192051        1.2702284905        0.3029551026        3.5762823233
        0.3321153641        1.9847320164        0.3110640821        4.0695626438
        0.3447115231        2.6992355423        0.3191730615        4.6861630443
        0.3573076821        2.3816784197        0.3272820410        3.8229224835
        0.3699038410        2.0641212970        0.3353910205        4.1928827239
        0.3825000000        2.1435105777        0.3435000000        7.2758847267
        0.3950961590        2.3816784197        0.3516089795        6.0426839256
        0.4076923179        2.9374033843        0.3597179590        4.4395228841
        0.4202884769        4.4457997167        0.3678269385        8.3857654477
        0.4328846359        3.8900747521        0.3759359179        8.7557256881
        0.4454807949        4.4457997167        0.3840448974        9.9889264892
        0.4580769538        5.0809139620        0.3921538769        7.1525646466
        0.4706731128        6.1129746105        0.4002628564        8.1391252875
        0.4832692718        5.9541960492        0.4083718359        7.8924851273
        0.4958654308        5.4778603652        0.4164808154        5.5494036051
        0.5084615897        5.7160282072        0.4245897949        5.7960437653
        0.5210577487        4.7633568393        0.4326987744        5.0561232847
        0.5336539077        3.7312961908        0.4408077538        2.7130417625
        0.5462500667        1.7465641744        0.4489167333        1.9731212818
        0.5588462256        1.0320606485        0.4570257128        1.4798409614
        0.5714423846        0.2381678420        0.4651346923        0.2466401602
        0.5840385436        0.0793892807        0.4732436718        0.1233200801
        0.5966347026        0.0000000000        0.4813526513        0.0000000000
        0.6092308615        0.0000000000        0.4894616308        0.0000000000
        0.6218270205        0.0000000000        0.4975706103        0.0000000000
        0.6344231795        0.0000000000        0.5056795897        0.0000000000
