#cell center,       ave flux
      0.0300000      2.7878742
      0.0900000      2.7060981
      0.1500000      2.6385490
      0.2100000      2.5751806
      0.2700000      2.5134148
      0.3300000      2.4566370
      0.3900000      2.4029834
      0.4500000      2.3509133
      0.5100000      2.2991471
      0.5700000      2.2502592
      0.6300000      2.1993372
      0.6900000      2.1558201
      0.7500000      2.1101974
      0.8100000      2.0639747
      0.8700000      2.0223555
      0.9300000      1.9798904
      0.9900000      1.9354945
      1.0500000      1.8971218
      1.1100000      1.8562877
      1.1700000      1.8180225
      1.2300000      1.7760146
      1.2900000      1.7382654
      1.3500000      1.6993490
      1.4100000      1.6613848
      1.4700000      1.6240480
      1.5300000      1.5870144
      1.5900000      1.5525178
      1.6500000      1.5150322
      1.7100000      1.4776190
      1.7700000      1.4440410
      1.8300000      1.4087140
      1.8900000      1.3713239
      1.9500000      1.3382630
      2.0100000      1.3035989
      2.0700000      1.2703183
      2.1300000      1.2337364
      2.1900000      1.2012342
      2.2500000      1.1664684
      2.3100000      1.1337224
      2.3700000      1.0991043
      2.4300000      1.0649365
      2.4900000      1.0309012
      2.5500000      0.9964828
      2.6100000      0.9624362
      2.6700000      0.9275579
      2.7300000      0.8919158
      2.7900000      0.8557454
      2.8500000      0.8174308
      2.9100000      0.7784892
      2.9700000      0.7328498
