#     Eigenvalues and their contributions
#   Eigindx       Eig vals        sqrt(Eig)
      1         0.836050270    0.914357846
      2         0.590446679    0.768405283
      3         0.384108445    0.619764830
      4         0.251196765    0.501195336
      5         0.170750911    0.413220173
      6         0.121294828    0.348274070
      7         0.089675765    0.299459121
      8         0.068584952    0.261887289
      9         0.053956154    0.232284639
     10         0.043456477    0.208462172
#     11         0.035695324    0.188932062
#     12         0.029811661    0.172660536
#     13         0.025253243    0.158912688
#     14         0.021654458    0.147154537
#     15         0.018766307    0.136990172
#     16         0.016414890    0.128120606
#     17         0.014476002    0.120316260
#     18         0.012859147    0.113398178
#     19         0.011497192    0.107224960
#     20         0.010339533    0.101683494
#     21         0.009347463    0.096682279
#     22         0.008490985    0.092146542
#     23         0.007746572    0.088014610
#     24         0.007095564    0.084235173
#     25         0.006523020    0.080765217
