#     Eigenvalues and their contributions
#   Eigindx       Eig vals        sqrt(Eig)
      1         0.563827307    0.750884350
      2         0.198164925    0.445157192
      3         0.080806750    0.284265282
      4         0.041170654    0.202905529
      5         0.024450397    0.156366227
      6         0.016068929    0.126763281
      7         0.011325570    0.106421662
      8         0.008396733    0.091633688
      9         0.006467142    0.080418544
     10         0.005130887    0.071630212
#     11         0.004168315    0.064562488
#     12         0.003452453    0.058757579
#     13         0.002905876    0.053906181
#     14         0.002479245    0.049792016
#     15         0.002139934    0.046259416
#     16         0.001865682    0.043193536
#     17         0.001640885    0.040507834
#     18         0.001454345    0.038135870
#     19         0.001297859    0.036025806
#     20         0.001165308    0.034136608
#     21         0.001052054    0.032435376
#     22         0.000954527    0.030895425
#     23         0.000869948    0.029494888
#     24         0.000796124    0.028215674
#     25         0.000731307    0.027042691
