#     Eigenvalues and their contributions
#   Eigindx       Eig vals        sqrt(Eig)
      1         0.365217773    0.604332502
      2         0.070798035    0.266079002
      3         0.023356850    0.152829481
      4         0.011079707    0.105260185
      5         0.006385521    0.079909453
      6         0.004134113    0.064297068
      7         0.002889175    0.053751043
      8         0.002130850    0.046161127
      9         0.001635533    0.040441728
     10         0.001294507    0.035979252
#     11         0.001049849    0.032401372
#     12         0.000868440    0.029469303
#     13         0.000730241    0.027022963
#     14         0.000622555    0.024951059
#     15         0.000537027    0.023173844
#     16         0.000467973    0.021632692
#     17         0.000411422    0.020283544
#     18         0.000364529    0.019092654
#     19         0.000325216    0.018033740
#     20         0.000291932    0.017086030
#     21         0.000263507    0.016232893
#     22         0.000239038    0.015460852
#     23         0.000217824    0.014758876
#     24         0.000199314    0.014117845
#     25         0.000183065    0.013530156
