#     Eigenvalues and their contributions
#   Eigindx       Eig vals        sqrt(Eig)
      1         0.916782177    0.957487429
      2         0.806203813    0.897888530
      3         0.668354505    0.817529513
      4         0.536198630    0.732255850
      5         0.425073555    0.651976652
      6         0.337474359    0.580925433
      7         0.270280763    0.519885337
      8         0.219085552    0.468065756
      9         0.179917290    0.424166582
     10         0.149662887    0.386862878
#     11         0.126013506    0.354983811
#     12         0.107291868    0.327554374
#     13         0.092284514    0.303783663
#     14         0.080109801    0.283036748
#     15         0.070121691    0.264805006
#     16         0.061841766    0.248680048
#     17         0.054911675    0.234332402
#     18         0.049059882    0.221494654
#     19         0.044078293    0.209948310
#     20         0.039805683    0.199513615
#     21         0.036115836    0.190041670
#     22         0.032908972    0.181408302
#     23         0.030105475    0.173509294
#     24         0.027641266    0.166256627
#     25         0.025464350    0.159575531
