#     Eigenvalues and their contributions
#   Eigindx       Eig vals        sqrt(Eig)
      1         0.942145228    0.970641658
      2         0.892156370    0.944540296
      3         0.819155926    0.905072332
      4         0.734194867    0.856851718
      5         0.646940720    0.804326252
      6         0.564056060    0.751036657
      7         0.489161102    0.699400531
      8         0.423589812    0.650837777
      9         0.367268474    0.606026793
     10         0.319404145    0.565158513
#     11         0.278926522    0.528134947
#     12         0.244733530    0.494705499
#     13         0.215809289    0.464552784
#     14         0.191268860    0.437342954
#     15         0.170365127    0.412753106
#     16         0.152478306    0.390484706
#     17         0.137099058    0.370268900
#     18         0.123810619    0.351867331
#     19         0.112272335    0.335070641
#     20         0.102205474    0.319695909
#     21         0.093381415    0.305583728
#     22         0.085612009    0.292595299
#     23         0.078741815    0.280609720
#     24         0.072641863    0.269521545
#     25         0.067204679    0.259238653
