#cell center,       ave mat1 flux,   flux mat1 dev,   ave mat2 flux,   flux mat2 dev
      0.0300000      2.6662660      5.8636064      2.9333252      1.6852789
      0.0900000      2.4448072      5.3493484      2.8395617      1.7097379
      0.1500000      2.3987969      5.1181972      2.6399320      1.6540868
      0.2100000      2.3145186      4.8816492      2.7315587      1.7480176
      0.2700000      2.1439383      4.4691776      2.6030376      1.7254745
      0.3300000      2.0715601      4.3514504      2.5963153      1.6996531
      0.3900000      1.9291383      4.1079406      2.6335607      1.7903674
      0.4500000      1.9219089      4.0122291      2.5162826      1.7195546
      0.5100000      2.0308727      4.2613726      2.4582284      1.7085505
      0.5700000      1.8504739      3.8330565      2.4464565      1.7105418
      0.6300000      1.8171304      3.8827958      2.4053663      1.7157030
      0.6900000      1.8106242      3.8484667      2.4261678      1.7583593
      0.7500000      1.7364484      3.7968689      2.3218293      1.6795924
      0.8100000      1.7233768      3.8420957      2.1910744      1.5402520
      0.8700000      1.7461890      3.7767715      2.1809289      1.6308607
      0.9300000      1.5844570      3.5819127      2.1216443      1.5678211
      0.9900000      1.5135766      3.4218909      2.1378620      1.5737646
      1.0500000      1.6089129      3.5961434      2.0930055      1.5428724
      1.1100000      1.5068283      3.4102158      2.0109997      1.5455773
      1.1700000      1.4944193      3.4002392      1.9510659      1.4927204
      1.2300000      1.4396109      3.1957331      1.8988296      1.4436530
      1.2900000      1.3849904      3.0308532      1.8509680      1.4594555
      1.3500000      1.4075740      3.1214338      1.8419309      1.4554990
      1.4100000      1.3224937      2.9805151      1.7891424      1.3839681
      1.4700000      1.3625633      3.0742183      1.7186186      1.3711050
      1.5300000      1.3304002      2.9474498      1.7311081      1.4191800
      1.5900000      1.2941071      2.8370587      1.6642805      1.3813235
      1.6500000      1.2690483      2.8387139      1.5992467      1.2840926
      1.7100000      1.2291683      2.7865757      1.6294571      1.3650053
      1.7700000      1.1570946      2.7873636      1.5917578      1.2831921
      1.8300000      1.2263992      2.8966527      1.5529191      1.2741241
      1.8900000      1.1206600      2.4947619      1.4415424      1.2467646
      1.9500000      1.1378624      2.5147290      1.4813613      1.2703960
      2.0100000      1.0893692      2.3429494      1.4260997      1.2714941
      2.0700000      1.0725200      2.2839897      1.3368666      1.2133447
      2.1300000      1.0905775      2.3150005      1.3258736      1.2173676
      2.1900000      1.0174213      2.2080950      1.2977472      1.1975570
      2.2500000      0.9921316      2.1232463      1.3008702      1.1893648
      2.3100000      0.9735067      2.1220286      1.2629414      1.1496031
      2.3700000      0.9269063      2.0392257      1.2225386      1.0940109
      2.4300000      0.9384845      2.0378253      1.1450321      1.0975648
      2.4900000      0.8378081      1.8548095      1.0727962      1.0060184
      2.5500000      0.8536847      1.8956509      1.0508755      1.0194778
      2.6100000      0.8360130      1.8702565      1.0551763      1.0339929
      2.6700000      0.8395417      1.8456948      1.0494691      1.0142730
      2.7300000      0.8046683      1.6977718      0.9662361      0.9668537
      2.7900000      0.7325091      1.6203579      0.9170386      0.8814389
      2.8500000      0.7585984      1.6063351      0.8609466      0.8390194
      2.9100000      0.7073791      1.4854846      0.8315028      0.8401058
      2.9700000      0.6375389      1.2774580      0.8086086      0.7945306
