#         tranbounds      trancounts        reflbounds        relfcounts
        0.1151922103        0.0000000000        0.1970832359        0.0000000000
        0.1280768308        0.0000000000        0.2049999077        0.0000000000
        0.1409614513        0.0000000000        0.2129165795        0.0000000000
        0.1538460718        0.0776119094        0.2208332513        0.1263157076
        0.1667306923        0.0000000000        0.2287499231        0.5052628306
        0.1796153128        0.0776119094        0.2366665949        1.2631570765
        0.1924999333        0.0000000000        0.2445832667        1.6421041994
        0.2053845538        0.2328357282        0.2524999385        1.6421041994
        0.2182691744        0.3104476376        0.2604166103        1.7684199071
        0.2311537949        0.3104476376        0.2683332821        1.3894727841
        0.2440384154        0.4656714564        0.2762499538        2.2736827377
        0.2569230359        1.1641786411        0.2841666256        2.3999984453
        0.2698076564        1.3194024599        0.2920832974        2.1473670300
        0.2826922769        1.9402977352        0.2999999692        2.1473670300
        0.2955768974        1.9402977352        0.3079166410        3.9157869371
        0.3084615179        2.0179096446        0.3158333128        3.6631555218
        0.3213461385        1.8626858258        0.3237499846        2.2736827377
        0.3342307590        2.4059691917        0.3316666564        3.0315769836
        0.3471153795        2.2507453728        0.3395833282        3.9157869371
        0.3600000000        3.4149240140        0.3475000000        3.1578926912
        0.3728846205        3.4925359234        0.3554166718        3.9157869371
        0.3857692410        3.2597001951        0.3633333436        6.3157853825
        0.3986538615        2.7164168293        0.3712500154        3.7894712295
        0.4115384821        2.2507453728        0.3791666872        3.5368398142
        0.4244231026        3.7253716516        0.3870833590        5.3052597213
        0.4373077231        3.5701478328        0.3950000308        5.9368382595
        0.4501923436        4.0358192892        0.4029167026        7.4526267513
        0.4630769641        3.2597001951        0.4108333744       10.1052566120
        0.4759615846        3.5701478328        0.4187500462       10.3578880273
        0.4888462051        2.9492525575        0.4266667179       12.7578864726
        0.5017308256        5.1223860209        0.4345833897        8.9684152431
        0.5146154462        6.5194003903        0.4425000615        4.5473654754
        0.5275000667        7.5283552126        0.4504167333        4.0421026448
        0.5403846872        4.5014907457        0.4583334051        1.2631570765
        0.5532693077        1.2417905505        0.4662500769        0.5052628306
        0.5661539282        0.0776119094        0.4741667487        0.2526314153
        0.5790385487        0.0000000000        0.4820834205        0.0000000000
        0.5919231692        0.0000000000        0.4900000923        0.0000000000
        0.6048077897        0.0000000000        0.4979167641        0.0000000000
        0.6176924103        0.0000000000        0.5058334359        0.0000000000
