#cell center,       ave mat1 flux,   flux mat1 dev,   ave mat2 flux,   flux mat2 dev
      0.0300000      2.6168268      5.2328071      2.9000113      1.7655084
      0.0900000      2.4395729      5.0417765      2.8200717      1.7164436
      0.1500000      2.3494283      4.9640042      2.8284026      1.7129483
      0.2100000      2.2436810      4.6586267      2.7414889      1.7469518
      0.2700000      2.2397246      4.6001225      2.6670258      1.7238843
      0.3300000      2.1274116      4.4637334      2.6178754      1.7194267
      0.3900000      2.0727592      4.4681913      2.5871355      1.6856932
      0.4500000      1.9569603      4.1336016      2.5461220      1.6966299
      0.5100000      1.9709357      4.1201477      2.4176036      1.6561299
      0.5700000      1.9061379      3.9997550      2.3800159      1.6173813
      0.6300000      1.8445742      3.8232238      2.3434302      1.6557360
      0.6900000      1.8073461      3.7899749      2.2464413      1.6071436
      0.7500000      1.7753733      3.8412190      2.1996911      1.5604376
      0.8100000      1.6169869      3.5753111      2.2365178      1.5843440
      0.8700000      1.5527081      3.3100215      2.1985486      1.5467973
      0.9300000      1.6252239      3.4913400      2.1786915      1.5561497
      0.9900000      1.5692707      3.4629596      2.0777335      1.4808431
      1.0500000      1.5423688      3.4320107      2.0024455      1.4148758
      1.1100000      1.5070505      3.4511818      2.0446358      1.4937713
      1.1700000      1.4968218      3.3434652      1.9433206      1.4696942
      1.2300000      1.4736885      3.2509347      2.0204214      1.5401873
      1.2900000      1.3706483      3.0085470      1.8925486      1.4085098
      1.3500000      1.4177487      3.1783614      1.8061927      1.3444156
      1.4100000      1.3698038      3.0908793      1.8187691      1.3987629
      1.4700000      1.3597905      3.1633622      1.7428779      1.3357260
      1.5300000      1.2428135      2.8412631      1.7577064      1.3746686
      1.5900000      1.2528050      2.8126950      1.7275146      1.3594234
      1.6500000      1.1938182      2.7769047      1.6390965      1.3281585
      1.7100000      1.2289678      2.8658204      1.5990252      1.3008578
      1.7700000      1.1531645      2.7733219      1.5827021      1.2423087
      1.8300000      1.0714115      2.5784693      1.5418273      1.2109384
      1.8900000      1.1735903      2.7942747      1.4504541      1.2030987
      1.9500000      1.1335479      2.5967117      1.4266725      1.2028662
      2.0100000      1.1619492      2.6179533      1.4060503      1.1864200
      2.0700000      1.0374336      2.3486531      1.3480089      1.1101151
      2.1300000      1.1018931      2.5726625      1.3633998      1.1553052
      2.1900000      1.0134159      2.3114307      1.3068073      1.1533920
      2.2500000      1.1041194      2.5385461      1.2272871      1.0615013
      2.3100000      0.9357324      2.2182843      1.2265419      1.0699053
      2.3700000      0.9538590      2.2127042      1.2023960      1.0781894
      2.4300000      0.9061842      2.1574396      1.0991602      0.9533477
      2.4900000      0.9212934      2.1337927      1.1336575      1.0048445
      2.5500000      0.8493299      1.9710465      1.0589369      0.9178289
      2.6100000      0.8489723      1.9999817      1.0726290      0.9315784
      2.6700000      0.7411433      1.8163955      1.0145868      0.9268334
      2.7300000      0.7976803      1.8598036      1.0012968      0.8685700
      2.7900000      0.7692674      1.8305797      0.9496449      0.8402919
      2.8500000      0.6998668      1.7478940      0.9081897      0.8229493
      2.9100000      0.6510452      1.5893496      0.8443404      0.7682692
      2.9700000      0.6651718      1.6262003      0.8119015      0.7324265
