#cell center,       ave mat1 flux,   flux mat1 dev,   ave mat2 flux,   flux mat2 dev
      0.0300000      2.6098681      5.0829742      2.8791778      1.4262468
      0.0900000      2.4662296      4.8068678      2.8160919      1.3965777
      0.1500000      2.3522671      4.6127847      2.7581058      1.3616013
      0.2100000      2.2570485      4.4389299      2.7041480      1.3347447
      0.2700000      2.1779590      4.2729687      2.6521821      1.3121250
      0.3300000      2.1025331      4.1434456      2.6020570      1.2877688
      0.3900000      2.0394024      3.9922946      2.5532524      1.2685453
      0.4500000      1.9804134      3.8427926      2.5037493      1.2569337
      0.5100000      1.9200911      3.7636739      2.4569938      1.2282932
      0.5700000      1.8655238      3.6602306      2.4113018      1.2048684
      0.6300000      1.8199779      3.5663410      2.3625503      1.1858139
      0.6900000      1.7725843      3.4961790      2.3178393      1.1627308
      0.7500000      1.7278983      3.4182103      2.2725026      1.1302110
      0.8100000      1.6904767      3.3563152      2.2252242      1.1089613
      0.8700000      1.6547566      3.2820127      2.1823887      1.0914354
      0.9300000      1.6127871      3.2078501      2.1400772      1.0752917
      0.9900000      1.5805653      3.1119562      2.0987924      1.0618358
      1.0500000      1.5461219      3.0736302      2.0550882      1.0411194
      1.1100000      1.5109482      3.0039839      2.0155085      1.0183749
      1.1700000      1.4737676      2.9459246      1.9710638      0.9919860
      1.2300000      1.4413407      2.9049014      1.9268217      0.9663129
      1.2900000      1.4204197      2.8596963      1.8882630      0.9527808
      1.3500000      1.3912888      2.7993180      1.8470350      0.9370922
      1.4100000      1.3590839      2.7355288      1.8069157      0.9176589
      1.4700000      1.3256266      2.6654691      1.7690246      0.9054216
      1.5300000      1.2956222      2.6075655      1.7292204      0.8817578
      1.5900000      1.2711642      2.5478018      1.6906049      0.8694356
      1.6500000      1.2457307      2.4859658      1.6511912      0.8534431
      1.7100000      1.2200027      2.4449107      1.6129433      0.8361115
      1.7700000      1.1902550      2.3678237      1.5731199      0.8173861
      1.8300000      1.1693620      2.3372225      1.5350533      0.7994997
      1.8900000      1.1382013      2.3065318      1.4963544      0.7762519
      1.9500000      1.1134834      2.2529391      1.4582099      0.7569715
      2.0100000      1.0858561      2.2059453      1.4205050      0.7362278
      2.0700000      1.0587807      2.1646949      1.3838105      0.7144300
      2.1300000      1.0308132      2.1356278      1.3466477      0.6889620
      2.1900000      1.0053291      2.0910565      1.3084310      0.6686043
      2.2500000      0.9817721      2.0377596      1.2719730      0.6524599
      2.3100000      0.9584272      1.9864656      1.2357843      0.6385112
      2.3700000      0.9322784      1.9279372      1.1968009      0.6218958
      2.4300000      0.9057877      1.8686364      1.1606794      0.6060645
      2.4900000      0.8795464      1.8158776      1.1232253      0.5863425
      2.5500000      0.8587149      1.7699938      1.0848084      0.5696629
      2.6100000      0.8274877      1.7029798      1.0467789      0.5513127
      2.6700000      0.8058721      1.6487502      1.0084715      0.5346730
      2.7300000      0.7818603      1.5855236      0.9692599      0.5205594
      2.7900000      0.7537847      1.5200310      0.9298377      0.5029727
      2.8500000      0.7232481      1.4497560      0.8871956      0.4841477
      2.9100000      0.6895323      1.3860488      0.8436106      0.4599637
      2.9700000      0.6520923      1.3101556      0.7953164      0.4333511
