#         tranbounds      trancounts        reflbounds        relfcounts
        0.1513716974        0.0000000000        0.1865383641        0.0000000000
        0.1636152923        0.0000000000        0.1946152923        0.0000000000
        0.1758588872        0.0000000000        0.2026922205        0.0000000000
        0.1881024821        0.1633507169        0.2107691487        0.1238094452
        0.2003460769        0.0816753585        0.2188460769        0.0000000000
        0.2125896718        0.4900521508        0.2269230051        0.8666661164
        0.2248332667        0.5717275092        0.2349999333        0.9904755616
        0.2370768615        0.4900521508        0.2430768615        0.7428566712
        0.2493204564        0.8984289431        0.2511537897        2.3523794588
        0.2615640513        1.0617796600        0.2592307179        1.9809511232
        0.2738076462        1.3884810938        0.2673076462        2.5999983492
        0.2860512410        2.2052346784        0.2753845744        1.8571416780
        0.2982948359        1.3884810938        0.2834615026        2.1047605684
        0.3105384308        2.4502607538        0.2915384308        2.1047605684
        0.3227820256        2.2869100369        0.2996153590        3.0952361300
        0.3350256205        2.6952868292        0.3076922872        2.1047605684
        0.3472692154        2.1235593200        0.3157692154        2.5999983492
        0.3595128103        2.3685853954        0.3238461436        2.4761889040
        0.3717564051        3.7570664892        0.3319230718        2.7238077944
        0.3840000000        2.3685853954        0.3400000000        4.4571400272
        0.3962435949        2.7769621877        0.3480769282        4.4571400272
        0.4084871897        3.1036636215        0.3561538564        3.9619022464
        0.4207307846        3.5120404138        0.3642307846        4.3333305820
        0.4329743795        4.4104693569        0.3723077128        3.7142833560
        0.4452179744        3.0219882630        0.3803846410        4.7047589176
        0.4574615692        2.5319361123        0.3884615692        5.3238061436
        0.4697051641        3.5120404138        0.3965384974        6.8095194860
        0.4819487590        4.1654432815        0.4046154256        7.0571383764
        0.4941923538        5.0638722246        0.4126923538       10.8952311776
        0.5064359487        5.8806258092        0.4207692821        9.6571367256
        0.5186795436        5.9623011676        0.4288462103       11.0190406228
        0.5309231385        6.4523533184        0.4369231385        7.6761856024
        0.5431667333        2.7769621877        0.4450000667        6.4380911504
        0.5554103282        1.3068057354        0.4530769949        2.5999983492
        0.5676539231        0.3267014338        0.4611539231        1.6095227876
        0.5798975179        0.0816753585        0.4692308513        0.3714283356
        0.5921411128        0.0000000000        0.4773077795        0.0000000000
        0.6043847077        0.0000000000        0.4853847077        0.0000000000
        0.6166283026        0.0000000000        0.4934616359        0.0000000000
        0.6288718974        0.0000000000        0.5015385641        0.0000000000
