              xiValue                 PDF                     PDF                     PDF                     PDF    
           -3.979899                 0.000000                 0.000000                 0.000000                 0.000000     
           -3.939698                 0.000000                 0.000000                 0.000000                 0.000000     
           -3.899497                 0.000000                 0.000000                 0.000000                 0.000498     
           -3.859296                 0.000000                 0.000000                 0.000000                 0.001492     
           -3.819095                 0.000000                 0.000000                 0.000000                 0.000746     
           -3.778894                 0.000000                 0.000000                 0.000000                 0.001244     
           -3.738693                 0.000000                 0.000000                 0.000000                 0.002736     
           -3.698492                 0.000000                 0.000000                 0.000000                 0.001741     
           -3.658291                 0.000000                 0.000000                 0.000000                 0.002239     
           -3.618090                 0.000000                 0.000000                 0.000000                 0.003482     
           -3.577889                 0.000000                 0.000000                 0.000000                 0.004229     
           -3.537688                 0.000000                 0.000000                 0.000000                 0.003234     
           -3.497487                 0.000000                 0.000000                 0.000000                 0.001492     
           -3.457286                 0.000000                 0.000000                 0.000000                 0.004975     
           -3.417085                 0.000000                 0.000000                 0.000000                 0.005970     
           -3.376884                 0.000000                 0.000000                 0.000000                 0.003482     
           -3.336683                 0.000000                 0.000000                 0.000000                 0.002736     
           -3.296482                 0.000000                 0.000000                 0.000000                 0.003731     
           -3.256281                 0.000000                 0.000000                 0.000000                 0.005472     
           -3.216080                 0.000000                 0.000000                 0.000000                 0.005721     
           -3.175879                 0.000000                 0.000000                 0.000000                 0.005970     
           -3.135678                 0.000000                 0.000000                 0.000000                 0.005970     
           -3.095477                 0.000000                 0.000000                 0.000000                 0.009950     
           -3.055276                 0.000000                 0.000000                 0.000000                 0.006965     
           -3.015075                 0.000000                 0.000000                 0.000000                 0.008706     
           -2.974874                 0.000000                 0.000000                 0.000000                 0.007960     
           -2.934673                 0.000000                 0.000000                 0.000000                 0.007960     
           -2.894472                 0.000000                 0.000000                 0.000000                 0.009204     
           -2.854271                 0.000000                 0.000000                 0.000000                 0.011194     
           -2.814070                 0.000000                 0.000000                 0.000000                 0.010696     
           -2.773869                 0.000000                 0.000000                 0.000000                 0.013432     
           -2.733668                 0.000000                 0.000000                 0.016417                 0.010696     
           -2.693467                 0.000000                 0.000000                 0.030099                 0.012686     
           -2.653266                 0.000000                 0.000000                 0.030596                 0.012935     
           -2.613065                 0.000000                 0.108704                 0.032586                 0.011194     
           -2.572864                 0.000000                 0.054725                 0.036069                 0.016169     
           -2.532663                 0.000000                 0.048506                 0.033084                 0.017910     
           -2.492462                 0.000000                 0.051989                 0.042287                 0.017413     
           -2.452261                 0.000000                 0.048258                 0.042536                 0.015920     
           -2.412060                 0.000000                 0.051740                 0.038308                 0.018905     
           -2.371859                 0.000000                 0.053233                 0.043034                 0.017661     
           -2.331658                 0.000000                 0.049252                 0.043034                 0.019651     
           -2.291457                 0.000000                 0.054725                 0.045273                 0.018656     
           -2.251256                 0.000000                 0.059700                 0.051740                 0.024377     
           -2.211055                 0.000000                 0.066416                 0.045024                 0.043283     
           -2.170854                 0.000000                 0.058705                 0.049750                 0.050745     
           -2.130653                 0.000000                 0.066665                 0.050745                 0.049501     
           -2.090452                 0.000000                 0.071391                 0.054227                 0.048258     
           -2.050251                 0.000000                 0.069401                 0.059202                 0.053979     
           -2.010050                 0.000000                 0.068904                 0.067162                 0.056217     
           -1.969849                 0.000000                 0.071889                 0.058456                 0.059451     
           -1.929648                 0.000000                 0.078107                 0.060944                 0.065670     
           -1.889447                 0.000000                 0.070148                 0.064924                 0.065421     
           -1.849246                 0.000000                 0.076615                 0.073879                 0.065421     
           -1.809045                 0.000000                 0.086565                 0.066168                 0.058208     
           -1.768844                 0.000000                 0.080595                 0.075620                 0.070396     
           -1.728643                 0.000000                 0.082336                 0.080346                 0.075371     
           -1.688442                 0.000000                 0.088804                 0.074376                 0.211189     
           -1.648241                 0.000000                 0.085819                 0.075620                 0.182334     
           -1.608040                 0.000000                 0.107211                 0.079351                 0.156713     
           -1.567839                 0.000000                 0.100495                 0.082336                 0.153230     
           -1.527638                 0.000000                 0.104475                 0.094027                 0.137807     
           -1.487437                 0.000000                 0.101739                 0.090048                 0.146514     
           -1.447236                 0.000000                 0.109201                 0.099749                 0.140295     
           -1.407035                 0.000000                 0.111937                 0.089550                 0.144275     
           -1.366834                 0.000000                 0.124126                 0.103480                 0.142783     
           -1.326633                 0.000000                 0.119898                 0.094027                 0.139051     
           -1.286432                 0.000000                 0.115669                 0.104972                 0.147509     
           -1.246231                 0.000000                 0.124126                 0.106714                 0.149748     
           -1.206030                 0.000000                 0.127111                 0.108455                 0.141788     
           -1.165829                 0.000000                 0.135320                 0.122634                 0.156464     
