#         tranbounds      trancounts        reflbounds        relfcounts
        0.2954514835        0.0000000000        0.2788480025        0.0000000000
        0.2995796506        0.0000000000        0.2810442076        0.0000000000
        0.3037078177        0.0000000000        0.2832404127        0.0000000000
        0.3078359848        0.0000000000        0.2854366177        0.0000000000
        0.3119641519        0.0000000000        0.2876328228        0.0000000000
        0.3160923190        0.0000000000        0.2898290278        0.0000000000
        0.3202204861        0.0000000000        0.2920252329        0.0000000000
        0.3243486532        0.0000000000        0.2942214380        0.0455330887
        0.3284768203        0.0000000000        0.2964176430        0.1821323549
        0.3326049873        0.0484476514        0.2986138481        0.5463970647
        0.3367331544        0.1453429542        0.3008100532        0.9106617745
        0.3408613215        0.2664620827        0.3030062582        1.6847242827
        0.3449894886        0.5571479910        0.3052024633        3.6881801865
        0.3491176557        0.7993862480        0.3073986684        6.2835662437
        0.3532458228        0.6782671195        0.3095948734        9.7896140754
        0.3573739899        0.7267147709        0.3117910785       14.0697244153
        0.3615021570        0.7751624223        0.3139872835       20.7175553688
        0.3656303241        0.8962815508        0.3161834886       24.6789340877
        0.3697584911        0.8962815508        0.3183796937       24.9976657087
        0.3738866582        1.0416245049        0.3205758987       27.6385848547
        0.3780148253        1.0900721563        0.3227721038       21.3094855222
        0.3821429924        1.2596389362        0.3249683089       19.1238972635
        0.3862711595        1.2111912848        0.3271645139       15.9821141417
        0.3903993266        1.3323104133        0.3293607190       13.2956619070
        0.3945274937        1.5261010189        0.3315569241       12.3394670438
        0.3986556608        1.2354151105        0.3337531291       12.0662685115
        0.4027838278        1.6229963217        0.3359493342       11.0645405596
        0.4069119949        1.7441154501        0.3381455392       11.6109376243
        0.4110401620        1.9136822300        0.3403417443        9.8806802528
        0.4151683291        2.0105775328        0.3425379494       10.0172795190
        0.4192964962        2.4466063953        0.3447341544       10.8368751160
        0.4234246633        2.3739349182        0.3469303595        8.4691545024
        0.4275528304        2.4466063953        0.3491265646        9.1976839220
        0.4316809975        2.6646208266        0.3513227696        8.4691545024
        0.4358091646        2.6161731752        0.3535189747        8.5146875911
        0.4399373316        3.4155594232        0.3557151797       10.1538787852
        0.4440654987        2.5192778724        0.3579113848        7.2852941956
        0.4481936658        3.3186641204        0.3601075899        7.3763603731
        0.4523218329        3.3671117718        0.3623037949        6.9210294858
        0.4564500000        3.3428879461        0.3645000000        6.4201655099
        0.4605781671        3.5851262031        0.3666962051        6.8754963971
        0.4647063342        3.5851262031        0.3688924101        6.9665625746
        0.4688345013        3.4640070746        0.3710886152        7.4218934618
        0.4729626684        4.1422741941        0.3732848203        7.0576287520
        0.4770908354        3.5366785517        0.3754810253        5.4184375580
        0.4812190025        4.2391694969        0.3776772304        5.9648346227
        0.4853471696        4.9658842678        0.3798734354        5.0086397595
        0.4894753367        4.3602886254        0.3820696405        5.6916360903
        0.4936035038        5.5230322588        0.3842658456        4.7354412272
        0.4977316709        4.9658842678        0.3864620506        4.6443750497
        0.5018598380        5.4503607817        0.3886582557        4.7354412272
        0.5059880051        5.4261369560        0.3908544608        4.0069118076
        0.5101161722        4.8205413136        0.3930506658        3.9158456301
        0.5142443392        5.8137181671        0.3952468709        2.9596507670
        0.5183725063        6.4435376352        0.3974430759        2.6864522346
        0.5225006734        5.5714799102        0.3996392810        3.0507169444
        0.5266288405        6.8068950207        0.4018354861        3.0507169444
        0.5307570076        7.9454148284        0.4040316911        2.4587867910
        0.5348851747        8.6479057736        0.4062278962        2.8230515008
        0.5390133418       10.3677973981        0.4084241013        1.8668566376
        0.5431415089       13.3715517844        0.4106203063        2.1400551700
        0.5472696759       15.3579054915        0.4128165114        1.8213235489
        0.5513978430       17.7076165841        0.4150127165        1.4570588391
        0.5555260101       15.9877249596        0.4172089215        1.0017279519
        0.5596541772        9.7379779299        0.4194051266        1.0472610406
        0.5637823443        4.8689889650        0.4216013316        0.5919301534
        0.5679105114        2.6161731752        0.4237975367        0.2276654436
        0.5720386785        1.5987724960        0.4259937418        0.0455330887
        0.5761668456        0.7751624223        0.4281899468        0.0910661774
        0.5802950127        0.1937906056        0.4303861519        0.0000000000
        0.5844231797        0.0484476514        0.4325823570        0.0000000000
        0.5885513468        0.0242238257        0.4347785620        0.0000000000
        0.5926795139        0.0000000000        0.4369747671        0.0000000000
        0.5968076810        0.0000000000        0.4391709722        0.0000000000
        0.6009358481        0.0000000000        0.4413671772        0.0000000000
        0.6050640152        0.0000000000        0.4435633823        0.0000000000
        0.6091921823        0.0000000000        0.4457595873        0.0000000000
        0.6133203494        0.0000000000        0.4479557924        0.0000000000
        0.6174485165        0.0000000000        0.4501519975        0.0000000000
        0.6215766835        0.0000000000        0.4523482025        0.0000000000
