#         tranbounds      trancounts        reflbounds        relfcounts
        0.2954514835        0.0000000000        0.2788480025        0.0000000000
        0.2995796506        0.0000000000        0.2810442076        0.0000000000
        0.3037078177        0.0000000000        0.2832404127        0.0000000000
        0.3078359848        0.0000000000        0.2854366177        0.0000000000
        0.3119641519        0.0000000000        0.2876328228        0.0000000000
        0.3160923190        0.0000000000        0.2898290278        0.0000000000
        0.3202204861        0.0000000000        0.2920252329        0.0000000000
        0.3243486532        0.0242238257        0.2942214380        0.0000000000
        0.3284768203        0.0484476514        0.2964176430        0.0000000000
        0.3326049873        0.2422382570        0.2986138481        0.0455330887
        0.3367331544        0.3149097341        0.3008100532        0.4097977985
        0.3408613215        0.2906859084        0.3030062582        0.8195955970
        0.3449894886        0.6055956424        0.3052024633        1.9123897264
        0.3491176557        0.3875812111        0.3073986684        5.8737684452
        0.3532458228        0.5571479910        0.3095948734       12.9313971972
        0.3573739899        0.6540432938        0.3117910785       20.6264891914
        0.3615021570        0.7267147709        0.3139872835       29.5965076697
        0.3656303241        0.6298194681        0.3161834886       30.1884378231
        0.3697584911        0.8478338994        0.3183796937       27.8662502983
        0.3738866582        0.7024909452        0.3205758987       22.3112134741
        0.3780148253        1.0416245049        0.3227721038       18.1221693116
        0.3821429924        1.1385198077        0.3249683089       14.0241913266
        0.3862711595        1.0658483306        0.3271645139       11.5198714468
        0.3903993266        1.5018771932        0.3293607190       10.2449449626
        0.3945274937        1.4049818904        0.3315569241       11.3832721807
        0.3986556608        1.2354151105        0.3337531291       10.5636765837
        0.4027838278        1.1869674591        0.3359493342       10.0172795190
        0.4069119949        1.6714439731        0.3381455392        9.4253493656
        0.4110401620        1.8167869272        0.3403417443       10.0172795190
        0.4151683291        2.1074728356        0.3425379494       10.5181434949
        0.4192964962        2.7857399551        0.3447341544        9.3798162769
        0.4234246633        2.5192778724        0.3469303595        9.4708824543
        0.4275528304        2.9068590836        0.3491265646        9.1976839220
        0.4316809975        2.8341876065        0.3513227696        9.7896140754
        0.4358091646        3.3186641204        0.3535189747        8.7878861235
        0.4399373316        3.1490973405        0.3557151797        8.0593567039
        0.4440654987        2.9310829093        0.3579113848        8.9700184784
        0.4481936658        3.1733211662        0.3601075899        8.0138236152
        0.4523218329        3.1490973405        0.3623037949        8.0593567039
        0.4564500000        3.2217688176        0.3645000000        7.3308272843
        0.4605781671        3.8031406343        0.3666962051        7.4218934618
        0.4647063342        3.8515882857        0.3688924101        6.6022978648
        0.4688345013        4.3602886254        0.3710886152        6.9210294858
        0.4729626684        4.3118409740        0.3732848203        5.8282353565
        0.4770908354        4.7720936622        0.3754810253        6.2835662437
        0.4812190025        3.9969312399        0.3776772304        6.8299633084
        0.4853471696        4.5783030566        0.3798734354        5.6005699129
        0.4894753367        4.5056315795        0.3820696405        5.7827022678
        0.4936035038        5.5230322588        0.3842658456        6.1925000663
        0.4977316709        5.0870033962        0.3864620506        4.8265074046
        0.5018598380        4.8205413136        0.3886582557        4.1890441625
        0.5059880051        5.5472560845        0.3908544608        4.0524448963
        0.5101161722        5.4019131303        0.3930506658        4.0979779850
        0.5142443392        5.3050178275        0.3952468709        2.7775184121
        0.5183725063        5.7168228643        0.3974430759        3.0962500331
        0.5225006734        5.1838986990        0.3996392810        2.7319853234
        0.5266288405        5.3534654789        0.4018354861        2.5953860572
        0.5307570076        6.2255232040        0.4040316911        2.9141176783
        0.5348851747        6.3708661582        0.4062278962        1.6847242827
        0.5390133418        6.3708661582        0.4084241013        2.0489889925
        0.5431415089        7.8727433513        0.4106203063        1.6847242827
        0.5472696759       12.8628514448        0.4128165114        1.4570588391
        0.5513978430       23.4244394484        0.4150127165        1.0927941293
        0.5555260101       24.6114069075        0.4172089215        0.8651286857
        0.5596541772       15.8666058311        0.4194051266        0.6829963308
        0.5637823443        5.2081225247        0.4216013316        0.5919301534
        0.5679105114        0.9931768536        0.4237975367        0.3187316211
        0.5720386785        0.1211191285        0.4259937418        0.4553308872
        0.5761668456        0.0000000000        0.4281899468        0.0910661774
        0.5802950127        0.0000000000        0.4303861519        0.0455330887
        0.5844231797        0.0000000000        0.4325823570        0.0455330887
        0.5885513468        0.0000000000        0.4347785620        0.0455330887
        0.5926795139        0.0000000000        0.4369747671        0.0000000000
        0.5968076810        0.0000000000        0.4391709722        0.0000000000
        0.6009358481        0.0000000000        0.4413671772        0.0000000000
        0.6050640152        0.0000000000        0.4435633823        0.0000000000
        0.6091921823        0.0000000000        0.4457595873        0.0000000000
        0.6133203494        0.0000000000        0.4479557924        0.0000000000
        0.6174485165        0.0000000000        0.4501519975        0.0000000000
        0.6215766835        0.0000000000        0.4523482025        0.0000000000
