#         tranbounds      trancounts        reflbounds        relfcounts
        0.2954514835        0.0000000000        0.2788480025        0.0000000000
        0.2995796506        0.0000000000        0.2810442076        0.0000000000
        0.3037078177        0.0000000000        0.2832404127        0.0000000000
        0.3078359848        0.0000000000        0.2854366177        0.0000000000
        0.3119641519        0.0000000000        0.2876328228        0.0000000000
        0.3160923190        0.0000000000        0.2898290278        0.0000000000
        0.3202204861        0.0000000000        0.2920252329        0.0000000000
        0.3243486532        0.0000000000        0.2942214380        0.0000000000
        0.3284768203        0.0484476514        0.2964176430        0.0455330887
        0.3326049873        0.1695667799        0.2986138481        0.0000000000
        0.3367331544        0.3875812111        0.3008100532        0.3187316211
        0.3408613215        0.4360288625        0.3030062582        0.7285294196
        0.3449894886        0.4360288625        0.3052024633        2.8685845895
        0.3491176557        0.5087003396        0.3073986684        6.4201655099
        0.3532458228        0.5087003396        0.3095948734       13.7509927942
        0.3573739899        0.5571479910        0.3117910785       20.9452208124
        0.3615021570        0.5813718167        0.3139872835       28.2305150081
        0.3656303241        0.7993862480        0.3161834886       31.4178312186
        0.3697584911        0.7751624223        0.3183796937       27.8662502983
        0.3738866582        0.9689530279        0.3205758987       21.3094855222
        0.3780148253        1.1385198077        0.3227721038       17.9400369567
        0.3821429924        0.9689530279        0.3249683089       14.2518567702
        0.3862711595        1.1869674591        0.3271645139       11.0645405596
        0.3903993266        1.2111912848        0.3293607190       10.1994118739
        0.3945274937        1.2838627619        0.3315569241       10.7002758498
        0.3986556608        1.3080865876        0.3337531291       10.4270773175
        0.4027838278        1.5261010189        0.3359493342       10.1994118739
        0.4069119949        1.6956677987        0.3381455392       10.0172795190
        0.4110401620        1.6472201474        0.3403417443        9.0155515671
        0.4151683291        2.3981587439        0.3425379494        9.1066177445
        0.4192964962        2.2043681384        0.3447341544        9.7440809867
        0.4234246633        2.5192778724        0.3469303595       10.1538787852
        0.4275528304        3.0279782120        0.3491265646        9.4253493656
        0.4316809975        3.0037543864        0.3513227696        8.5146875911
        0.4358091646        2.9553067350        0.3535189747        8.6512868573
        0.4399373316        3.4397832489        0.3557151797        8.2870221475
        0.4440654987        2.7615161294        0.3579113848        9.9262133415
        0.4481936658        3.2217688176        0.3601075899        7.9227574377
        0.4523218329        3.3186641204        0.3623037949        8.0138236152
        0.4564500000        3.3671117718        0.3645000000        7.6040258167
        0.4605781671        3.8758121114        0.3666962051        8.1048897926
        0.4647063342        4.0453788913        0.3688924101        5.8282353565
        0.4688345013        4.7236460108        0.3710886152        7.5584927280
        0.4729626684        3.8273644600        0.3732848203        6.1014338888
        0.4770908354        4.5298554052        0.3754810253        6.1014338888
        0.4812190025        4.3118409740        0.3776772304        6.4656985986
        0.4853471696        4.8689889650        0.3798734354        6.7388971310
        0.4894753367        4.6267507080        0.3820696405        5.7827022678
        0.4936035038        4.6751983594        0.3842658456        4.5988419610
        0.4977316709        4.5540792309        0.3864620506        5.1907721144
        0.5018598380        5.4988084331        0.3886582557        4.7354412272
        0.5059880051        5.4019131303        0.3908544608        4.2801103399
        0.5101161722        4.9658842678        0.3930506658        3.5515809204
        0.5142443392        5.5472560845        0.3952468709        3.4149816542
        0.5183725063        5.4261369560        0.3974430759        2.2766544361
        0.5225006734        5.5230322588        0.3996392810        2.5953860572
        0.5266288405        5.3776893046        0.4018354861        2.4587867910
        0.5307570076        6.1044040755        0.4040316911        2.2766544361
        0.5348851747        5.7168228643        0.4062278962        2.3221875249
        0.5390133418        6.1528517269        0.4084241013        1.8213235489
        0.5431415089        8.1149816083        0.4106203063        2.0034559038
        0.5472696759       13.8560282983        0.4128165114        1.3204595730
        0.5513978430       22.1648005122        0.4150127165        1.5481250166
        0.5555260101       24.5145116047        0.4172089215        1.2749264842
        0.5596541772       16.9809018132        0.4194051266        0.5919301534
        0.5637823443        5.6683752130        0.4216013316        0.6374632421
        0.5679105114        0.8236100737        0.4237975367        0.4097977985
        0.5720386785        0.0000000000        0.4259937418        0.0910661774
        0.5761668456        0.0000000000        0.4281899468        0.1365992662
        0.5802950127        0.0000000000        0.4303861519        0.0455330887
        0.5844231797        0.0000000000        0.4325823570        0.0000000000
        0.5885513468        0.0000000000        0.4347785620        0.0000000000
        0.5926795139        0.0000000000        0.4369747671        0.0000000000
        0.5968076810        0.0000000000        0.4391709722        0.0000000000
        0.6009358481        0.0000000000        0.4413671772        0.0000000000
        0.6050640152        0.0000000000        0.4435633823        0.0000000000
        0.6091921823        0.0000000000        0.4457595873        0.0000000000
        0.6133203494        0.0000000000        0.4479557924        0.0000000000
        0.6174485165        0.0000000000        0.4501519975        0.0000000000
        0.6215766835        0.0000000000        0.4523482025        0.0000000000
