              #x                      Variace                 Variace                 Variace
            0.005000                 3.188543                 9.311219                14.960007     
            0.015000                 3.347095                 9.768764                15.683871     
            0.025000                 3.508600                10.228940                16.399665     
            0.035000                 3.672974                10.690988                17.105203     
            0.045000                 3.840130                11.154146                17.798369     
            0.055000                 4.009981                11.617657                18.477126     
            0.065000                 4.182439                12.080766                19.139519     
            0.075000                 4.357414                12.542724                19.783690     
            0.085000                 4.534815                13.002790                20.407884     
            0.095000                 4.714548                13.460230                21.010453     
            0.105000                 4.896521                13.914321                21.589865     
            0.115000                 5.080637                14.364351                22.144711     
            0.125000                 5.266802                14.809622                22.673710     
            0.135000                 5.454918                15.249449                23.175709     
            0.145000                 5.644886                15.683164                23.649694     
            0.155000                 5.836609                16.110114                24.094790     
            0.165000                 6.029984                16.529667                24.510262     
            0.175000                 6.224913                16.941209                24.895520     
            0.185000                 6.421292                17.344148                25.250116     
            0.195000                 6.619020                17.737912                25.573750     
            0.205000                 6.817993                18.121954                25.866264     
            0.215000                 7.018107                18.495752                26.127646     
            0.225000                 7.219259                18.858806                26.358021     
            0.235000                 7.421342                19.210645                26.557659     
            0.245000                 7.624252                19.550824                26.726960     
            0.255000                 7.827883                19.878926                26.866460     
            0.265000                 8.032129                20.194563                26.976820     
            0.275000                 8.236882                20.497375                27.058824     
            0.285000                 8.442036                20.787033                27.113373     
            0.295000                 8.647484                21.063240                27.141477     
            0.305000                 8.853118                21.325727                27.144250     
            0.315000                 9.058833                21.574257                27.122902     
            0.325000                 9.264519                21.808628                27.078731     
            0.335000                 9.470070                22.028665                27.013115     
            0.345000                 9.675378                22.234230                26.927506     
            0.355000                 9.880337                22.425215                26.823417     
            0.365000                10.084839                22.601543                26.702415     
            0.375000                10.288778                22.763174                26.566113     
            0.385000                10.492047                22.910094                26.416160     
            0.395000                10.694540                23.042328                26.254229     
            0.405000                10.896151                23.159927                26.082014     
            0.415000                11.096776                23.262978                25.901212     
            0.425000                11.296309                23.351596                25.713521     
            0.435000                11.494647                23.425929                25.520625     
            0.445000                11.691686                23.486155                25.324192     
            0.455000                11.887323                23.532481                25.125857     
            0.465000                12.081455                23.565142                24.927219     
            0.475000                12.273983                23.584405                24.729830     
            0.485000                12.464805                23.590561                24.535189     
            0.495000                12.653821                23.583928                24.344733     
            0.505000                12.840934                23.564853                24.159830     
            0.515000                13.026044                23.533704                23.981774     
            0.525000                13.209057                23.490875                23.811776     
            0.535000                13.389876                23.436783                23.650959     
            0.545000                13.568406                23.371865                23.500358     
            0.555000                13.744556                23.296580                23.360907     
            0.565000                13.918232                23.211407                23.233442     
            0.575000                14.089345                23.116840                23.118694     
            0.585000                14.257804                23.013394                23.017288     
            0.595000                14.423522                22.901597                22.929742     
            0.605000                14.586413                22.781990                22.856463     
            0.615000                14.746391                22.655130                22.797748     
            0.625000                14.903374                22.521582                22.753785     
            0.635000                15.057278                22.381924                22.724651     
            0.645000                15.208024                22.236741                22.710315     
            0.655000                15.355534                22.086624                22.710643     
            0.665000                15.499729                21.932172                22.725392     
            0.675000                15.640535                21.773985                22.754224     
            0.685000                15.777879                21.612669                22.796701     
            0.695000                15.911688                21.448828                22.852292     
            0.705000                16.041894                21.283067                22.920382     
            0.715000                16.168427                21.115990                23.000272     
            0.725000                16.291222                20.948195                23.091184     
            0.735000                16.410215                20.780277                23.192274     
            0.745000                16.525344                20.612824                23.302632     
            0.755000                16.636548                20.446417                23.421291     
            0.765000                16.743770                20.281627                23.547236     
            0.775000                16.846954                20.119014                23.679407     
            0.785000                16.946045                19.959128                23.816713     
            0.795000                17.040993                19.802503                23.958034     
            0.805000                17.131747                19.649659                24.102231     
            0.815000                17.218261                19.501103                24.248155     
            0.825000                17.300488                19.357321                24.394655     
            0.835000                17.378387                19.218783                24.540583     
            0.845000                17.451916                19.085938                24.684805     
            0.855000                17.521037                18.959217                24.826208     
            0.865000                17.585714                18.839026                24.963707     
            0.875000                17.645914                18.725752                25.096252     
            0.885000                17.701604                18.619756                25.222837     
            0.895000                17.752757                18.521375                25.342503     
            0.905000                17.799344                18.430921                25.454349     
            0.915000                17.841342                18.348681                25.557534     
            0.925000                17.878730                18.274915                25.651287     
            0.935000                17.911486                18.209855                25.734906     
            0.945000                17.939595                18.153706                25.807768     
            0.955000                17.963042                18.106643                25.869332     
            0.965000                17.981814                18.068815                25.919140     
            0.975000                17.995901                18.040340                25.956822     
            0.985000                18.005297                18.021307                25.982100     
            0.995000                18.009996                18.011775                25.994786     
            1.005000                18.009996                18.011775                25.994786     
            1.015000                18.005297                18.021307                25.982100     
            1.025000                17.995901                18.040340                25.956822     
            1.035000                17.981814                18.068815                25.919140     
            1.045000                17.963042                18.106643                25.869332     
            1.055000                17.939595                18.153706                25.807768     
            1.065000                17.911486                18.209855                25.734906     
            1.075000                17.878730                18.274915                25.651287     
            1.085000                17.841342                18.348681                25.557534     
            1.095000                17.799344                18.430921                25.454349     
            1.105000                17.752757                18.521375                25.342503     
            1.115000                17.701604                18.619756                25.222837     
            1.125000                17.645914                18.725752                25.096252     
            1.135000                17.585714                18.839026                24.963707     
            1.145000                17.521037                18.959217                24.826208     
            1.155000                17.451916                19.085938                24.684805     
            1.165000                17.378387                19.218783                24.540583     
            1.175000                17.300488                19.357321                24.394655     
            1.185000                17.218261                19.501103                24.248155     
            1.195000                17.131747                19.649659                24.102231     
            1.205000                17.040993                19.802503                23.958034     
            1.215000                16.946045                19.959128                23.816713     
            1.225000                16.846954                20.119014                23.679407     
            1.235000                16.743770                20.281627                23.547236     
            1.245000                16.636548                20.446417                23.421291     
            1.255000                16.525344                20.612824                23.302632     
            1.265000                16.410215                20.780277                23.192274     
            1.275000                16.291222                20.948195                23.091184     
            1.285000                16.168427                21.115990                23.000272     
            1.295000                16.041894                21.283067                22.920382     
            1.305000                15.911688                21.448828                22.852292     
            1.315000                15.777879                21.612669                22.796701     
            1.325000                15.640535                21.773985                22.754224     
            1.335000                15.499729                21.932172                22.725392     
            1.345000                15.355534                22.086624                22.710643     
            1.355000                15.208024                22.236741                22.710315     
            1.365000                15.057278                22.381924                22.724651     
            1.375000                14.903374                22.521582                22.753785     
            1.385000                14.746391                22.655130                22.797748     
            1.395000                14.586413                22.781990                22.856463     
            1.405000                14.423522                22.901597                22.929742     
            1.415000                14.257804                23.013394                23.017288     
            1.425000                14.089345                23.116840                23.118694     
            1.435000                13.918232                23.211407                23.233442     
            1.445000                13.744556                23.296580                23.360907     
            1.455000                13.568406                23.371865                23.500358     
            1.465000                13.389876                23.436783                23.650959     
            1.475000                13.209057                23.490875                23.811776     
            1.485000                13.026044                23.533704                23.981774     
            1.495000                12.840934                23.564853                24.159830     
            1.505000                12.653821                23.583928                24.344733     
            1.515000                12.464805                23.590561                24.535189     
            1.525000                12.273983                23.584405                24.729830     
            1.535000                12.081455                23.565142                24.927219     
            1.545000                11.887323                23.532481                25.125857     
            1.555000                11.691686                23.486155                25.324192     
            1.565000                11.494647                23.425929                25.520625     
            1.575000                11.296309                23.351596                25.713521     
            1.585000                11.096776                23.262978                25.901212     
            1.595000                10.896151                23.159927                26.082014     
            1.605000                10.694540                23.042328                26.254229     
            1.615000                10.492047                22.910094                26.416160     
            1.625000                10.288778                22.763174                26.566113     
            1.635000                10.084839                22.601543                26.702415     
            1.645000                 9.880337                22.425215                26.823417     
            1.655000                 9.675378                22.234230                26.927506     
            1.665000                 9.470070                22.028665                27.013115     
            1.675000                 9.264519                21.808628                27.078731     
            1.685000                 9.058833                21.574257                27.122902     
            1.695000                 8.853118                21.325727                27.144250     
            1.705000                 8.647484                21.063240                27.141477     
            1.715000                 8.442036                20.787033                27.113373     
            1.725000                 8.236882                20.497375                27.058824     
            1.735000                 8.032129                20.194563                26.976820     
            1.745000                 7.827883                19.878926                26.866460     
            1.755000                 7.624252                19.550824                26.726960     
            1.765000                 7.421342                19.210645                26.557659     
            1.775000                 7.219259                18.858806                26.358021     
            1.785000                 7.018107                18.495752                26.127646     
            1.795000                 6.817993                18.121954                25.866264     
            1.805000                 6.619020                17.737912                25.573750     
            1.815000                 6.421292                17.344148                25.250116     
            1.825000                 6.224913                16.941209                24.895520     
            1.835000                 6.029984                16.529667                24.510262     
            1.845000                 5.836609                16.110114                24.094790     
            1.855000                 5.644886                15.683164                23.649694     
            1.865000                 5.454918                15.249449                23.175709     
            1.875000                 5.266802                14.809622                22.673710     
            1.885000                 5.080637                14.364351                22.144711     
            1.895000                 4.896521                13.914321                21.589865     
            1.905000                 4.714548                13.460230                21.010453     
            1.915000                 4.534815                13.002790                20.407884     
            1.925000                 4.357414                12.542724                19.783690     
            1.935000                 4.182439                12.080766                19.139519     
            1.945000                 4.009981                11.617657                18.477126     
            1.955000                 3.840130                11.154146                17.798369     
            1.965000                 3.672974                10.690988                17.105203     
            1.975000                 3.508600                10.228940                16.399665     
            1.985000                 3.347095                 9.768764                15.683871     
            1.995000                 3.188543                 9.311219                14.960007     
