              #x                      Variace                 Variace                 Variace                 Variace
            0.002500                 3.067782                 6.295432                 8.168480                 9.253362     
            0.007500                 3.143936                 6.449378                 8.364650                 9.471263     
            0.012500                 3.220472                 6.601666                 8.554929                 9.678000     
            0.017500                 3.297364                 6.752134                 8.738972                 9.873065     
            0.022500                 3.374586                 6.900626                 8.916458                10.056030     
            0.027500                 3.452110                 7.046988                 9.087094                10.226546     
            0.032500                 3.529909                 7.191071                 9.250612                10.384348     
            0.037500                 3.607957                 7.332731                 9.406773                10.529253     
            0.042500                 3.686226                 7.471828                 9.555367                10.661161     
            0.047500                 3.764690                 7.608226                 9.696213                10.780055     
            0.052500                 3.843321                 7.741796                 9.829159                10.886000     
            0.057500                 3.922092                 7.872413                 9.954084                10.979138     
            0.062500                 4.000976                 7.999957                10.070895                11.059692     
            0.067500                 4.079945                 8.124315                10.179532                11.127955     
            0.072500                 4.158972                 8.245380                10.279962                11.184293     
            0.077500                 4.238030                 8.363048                10.372185                11.229137     
            0.082500                 4.317091                 8.477225                10.456227                11.262982     
            0.087500                 4.396127                 8.587820                10.532146                11.286377     
            0.092500                 4.475112                 8.694750                10.600026                11.299924     
            0.097500                 4.554019                 8.797938                10.659981                11.304269     
            0.102500                 4.632819                 8.897314                10.712149                11.300099     
            0.107500                 4.711485                 8.992814                10.756697                11.288133     
            0.112500                 4.789990                 9.084380                10.793815                11.269117     
            0.117500                 4.868308                 9.171963                10.823717                11.243817     
            0.122500                 4.946410                 9.255518                10.846640                11.213012     
            0.127500                 5.024270                 9.335010                10.862841                11.177489     
            0.132500                 5.101861                 9.410408                10.872599                11.138033     
            0.137500                 5.179156                 9.481688                10.876209                11.095424     
            0.142500                 5.256127                 9.548836                10.873983                11.050429     
            0.147500                 5.332750                 9.611842                10.866251                11.003797     
            0.152500                 5.408996                 9.670703                10.853352                10.956250     
            0.157500                 5.484839                 9.725424                10.835640                10.908483     
            0.162500                 5.560254                 9.776016                10.813479                10.861154     
            0.167500                 5.635214                 9.822497                10.787239                10.814882     
            0.172500                 5.709692                 9.864892                10.757298                10.770242     
            0.177500                 5.783664                 9.903231                10.724040                10.727761     
            0.182500                 5.857104                 9.937552                10.687849                10.687914     
            0.187500                 5.929986                 9.967900                10.649112                10.651125     
            0.192500                 6.002285                 9.994324                10.608215                10.617761     
            0.197500                 6.073975                10.016881                10.565541                10.588129     
            0.202500                 6.145033                10.035633                10.521470                10.562483     
            0.207500                 6.215433                10.050648                10.476376                10.541013     
            0.212500                 6.285151                10.062000                10.430623                10.523854     
            0.217500                 6.354163                10.069769                10.384568                10.511082     
            0.222500                 6.422445                10.074040                10.338560                10.502715     
            0.227500                 6.489974                10.074901                10.292930                10.498717     
            0.232500                 6.556725                10.072449                10.248000                10.499002     
            0.237500                 6.622676                10.066783                10.204077                10.503429     
            0.242500                 6.687803                10.058007                10.161450                10.511813     
            0.247500                 6.752085                10.046229                10.120392                10.523927     
            0.252500                 6.815500                10.031563                10.081159                10.539503     
            0.257500                 6.878024                10.014125                10.043986                10.558238     
            0.262500                 6.939637                 9.994035                10.009089                10.579798     
            0.267500                 7.000316                 9.971417                 9.976664                10.603824     
            0.272500                 7.060042                 9.946397                 9.946885                10.629935     
            0.277500                 7.118793                 9.919106                 9.919905                10.657735     
            0.282500                 7.176549                 9.889675                 9.895856                10.686817     
            0.287500                 7.233290                 9.858239                 9.874845                10.716766     
            0.292500                 7.288997                 9.824935                 9.856958                10.747168     
            0.297500                 7.343649                 9.789903                 9.842260                10.777612     
            0.302500                 7.397229                 9.753281                 9.830792                10.807695     
            0.307500                 7.449717                 9.715211                 9.822572                10.837029     
            0.312500                 7.501095                 9.675837                 9.817600                10.865241     
            0.317500                 7.551346                 9.635300                 9.815849                10.891982     
            0.322500                 7.600452                 9.593746                 9.817277                10.916926     
            0.327500                 7.648396                 9.551317                 9.821818                10.939778     
            0.332500                 7.695161                 9.508157                 9.829387                10.960274     
            0.337500                 7.740732                 9.464411                 9.839881                10.978182     
            0.342500                 7.785092                 9.420220                 9.853180                10.993309     
            0.347500                 7.828227                 9.375726                 9.869146                11.005501     
            0.352500                 7.870120                 9.331070                 9.887625                11.014640     
            0.357500                 7.910758                 9.286391                 9.908451                11.020650     
            0.362500                 7.950127                 9.241826                 9.931442                11.023497     
            0.367500                 7.988213                 9.197510                 9.956404                11.023186     
            0.372500                 8.025002                 9.153577                 9.983136                11.019761     
            0.377500                 8.060482                 9.110157                10.011423                11.013306     
            0.382500                 8.094641                 9.067378                10.041045                11.003941     
            0.387500                 8.127467                 9.025364                10.071775                10.991824     
            0.392500                 8.158949                 8.984237                10.103381                10.977143     
            0.397500                 8.189075                 8.944115                10.135628                10.960117     
            0.402500                 8.217835                 8.905111                10.168277                10.940994     
            0.407500                 8.245219                 8.867337                10.201092                10.920045     
            0.412500                 8.271218                 8.830898                10.233836                10.897560     
            0.417500                 8.295822                 8.795897                10.266273                10.873850     
            0.422500                 8.319024                 8.762430                10.298174                10.849235     
            0.427500                 8.340815                 8.730590                10.329314                10.824046     
            0.432500                 8.361187                 8.700464                10.359473                10.798618     
            0.437500                 8.380134                 8.672135                10.388443                10.773287     
            0.442500                 8.397648                 8.645681                10.416021                10.748386     
            0.447500                 8.413725                 8.621173                10.442018                10.724240     
            0.452500                 8.428358                 8.598678                10.466254                10.701163     
            0.457500                 8.441542                 8.578257                10.488563                10.679454     
            0.462500                 8.453272                 8.559964                10.508792                10.659393     
            0.467500                 8.463546                 8.543849                10.526804                10.641239     
            0.472500                 8.472358                 8.529956                10.542476                10.625223     
            0.477500                 8.479706                 8.518320                10.555701                10.611552     
            0.482500                 8.485588                 8.508975                10.566390                10.600400     
            0.487500                 8.490001                 8.501943                10.574471                10.591909     
            0.492500                 8.492943                 8.497245                10.579889                10.586187     
            0.497500                 8.494415                 8.494893                10.582607                10.583308     
            0.502500                 8.494415                 8.494893                10.582607                10.583308     
            0.507500                 8.492943                 8.497245                10.579889                10.586187     
            0.512500                 8.490001                 8.501943                10.574471                10.591909     
            0.517500                 8.485588                 8.508975                10.566390                10.600400     
            0.522500                 8.479706                 8.518320                10.555701                10.611552     
            0.527500                 8.472358                 8.529956                10.542476                10.625223     
            0.532500                 8.463546                 8.543849                10.526804                10.641239     
            0.537500                 8.453272                 8.559964                10.508792                10.659393     
            0.542500                 8.441542                 8.578257                10.488563                10.679454     
            0.547500                 8.428358                 8.598678                10.466254                10.701163     
            0.552500                 8.413725                 8.621173                10.442018                10.724240     
            0.557500                 8.397648                 8.645681                10.416021                10.748386     
            0.562500                 8.380134                 8.672135                10.388443                10.773287     
            0.567500                 8.361187                 8.700464                10.359473                10.798618     
            0.572500                 8.340815                 8.730590                10.329314                10.824046     
            0.577500                 8.319024                 8.762430                10.298174                10.849235     
            0.582500                 8.295822                 8.795897                10.266273                10.873850     
            0.587500                 8.271218                 8.830898                10.233836                10.897560     
