#       x                y            Correxpect        Corryield
     0.025000         0.025000         0.007438         0.003511
     0.025000         0.075000         0.004291         0.004152
     0.025000         0.125000         0.002476         0.003811
     0.025000         0.175000         0.001428         0.002733
     0.025000         0.225000         0.000824         0.001375
     0.025000         0.275000         0.000475         0.000214
     0.025000         0.325000         0.000274        -0.000431
     0.025000         0.375000         0.000158        -0.000503
     0.025000         0.425000         0.000091        -0.000177
     0.025000         0.475000         0.000053         0.000246
     0.025000         0.525000         0.000030         0.000501
     0.025000         0.575000         0.000018         0.000466
     0.025000         0.625000         0.000010         0.000195
     0.025000         0.675000         0.000006        -0.000140
     0.025000         0.725000         0.000003        -0.000353
     0.025000         0.775000         0.000002        -0.000345
     0.025000         0.825000         0.000001        -0.000147
     0.025000         0.875000         0.000001         0.000115
     0.025000         0.925000         0.000000         0.000290
     0.025000         0.975000         0.000000         0.000290
     0.025000         1.025000         0.000000         0.000129
     0.025000         1.075000         0.000000        -0.000093
     0.025000         1.125000         0.000000        -0.000248
     0.025000         1.175000         0.000000        -0.000255
     0.025000         1.225000         0.000000        -0.000118
     0.025000         1.275000         0.000000         0.000078
     0.025000         1.325000         0.000000         0.000220
     0.025000         1.375000         0.000000         0.000232
     0.025000         1.425000         0.000000         0.000113
     0.025000         1.475000         0.000000        -0.000066
     0.025000         1.525000         0.000000        -0.000201
     0.025000         1.575000         0.000000        -0.000218
     0.025000         1.625000         0.000000        -0.000111
     0.025000         1.675000         0.000000         0.000057
     0.025000         1.725000         0.000000         0.000189
     0.025000         1.775000         0.000000         0.000211
     0.025000         1.825000         0.000000         0.000111
     0.025000         1.875000         0.000000        -0.000051
     0.025000         1.925000         0.000000        -0.000182
     0.025000         1.975000         0.000000        -0.000208
     0.075000         0.025000         0.004291         0.004152
     0.075000         0.075000         0.007438         0.004990
     0.075000         0.125000         0.004291         0.004740
     0.075000         0.175000         0.002476         0.003640
     0.075000         0.225000         0.001428         0.002159
     0.075000         0.275000         0.000824         0.000806
     0.075000         0.325000         0.000475        -0.000060
     0.075000         0.375000         0.000274        -0.000335
     0.075000         0.425000         0.000158        -0.000158
     0.075000         0.475000         0.000091         0.000189
     0.075000         0.525000         0.000053         0.000436
     0.075000         0.575000         0.000030         0.000438
     0.075000         0.625000         0.000018         0.000217
     0.075000         0.675000         0.000010        -0.000082
     0.075000         0.725000         0.000006        -0.000291
     0.075000         0.775000         0.000003        -0.000309
     0.075000         0.825000         0.000002        -0.000149
     0.075000         0.875000         0.000001         0.000081
     0.075000         0.925000         0.000001         0.000245
     0.075000         0.975000         0.000000         0.000259
     0.075000         1.025000         0.000000         0.000126
     0.075000         1.075000         0.000000        -0.000068
     0.075000         1.125000         0.000000        -0.000211
     0.075000         1.175000         0.000000        -0.000226
     0.075000         1.225000         0.000000        -0.000112
     0.075000         1.275000         0.000000         0.000060
     0.075000         1.325000         0.000000         0.000189
     0.075000         1.375000         0.000000         0.000205
     0.075000         1.425000         0.000000         0.000104
     0.075000         1.475000         0.000000        -0.000053
     0.075000         1.525000         0.000000        -0.000174
     0.075000         1.575000         0.000000        -0.000192
     0.075000         1.625000         0.000000        -0.000100
     0.075000         1.675000         0.000000         0.000047
     0.075000         1.725000         0.000000         0.000164
     0.075000         1.775000         0.000000         0.000185
     0.075000         1.825000         0.000000         0.000099
     0.075000         1.875000         0.000000        -0.000043
     0.075000         1.925000         0.000000        -0.000158
     0.075000         1.975000         0.000000        -0.000182
     0.125000         0.025000         0.002476         0.003811
     0.125000         0.075000         0.004291         0.004740
     0.125000         0.125000         0.007438         0.004819
     0.125000         0.175000         0.004291         0.004166
     0.125000         0.225000         0.002476         0.003071
     0.125000         0.275000         0.001428         0.001884
     0.125000         0.325000         0.000824         0.000902
     0.125000         0.375000         0.000475         0.000284
     0.125000         0.425000         0.000274         0.000032
     0.125000         0.475000         0.000158         0.000032
     0.125000         0.525000         0.000091         0.000126
     0.125000         0.575000         0.000053         0.000188
     0.125000         0.625000         0.000030         0.000161
     0.125000         0.675000         0.000018         0.000066
     0.125000         0.725000         0.000010        -0.000038
     0.125000         0.775000         0.000006        -0.000095
     0.125000         0.825000         0.000003        -0.000081
     0.125000         0.875000         0.000002        -0.000018
     0.125000         0.925000         0.000001         0.000050
     0.125000         0.975000         0.000001         0.000081
     0.125000         1.025000         0.000000         0.000062
     0.125000         1.075000         0.000000         0.000008
     0.125000         1.125000         0.000000        -0.000046
     0.125000         1.175000         0.000000        -0.000068
     0.125000         1.225000         0.000000        -0.000048
     0.125000         1.275000         0.000000        -0.000001
     0.125000         1.325000         0.000000         0.000044
     0.125000         1.375000         0.000000         0.000060
     0.125000         1.425000         0.000000         0.000040
     0.125000         1.475000         0.000000        -0.000004
     0.125000         1.525000         0.000000        -0.000043
     0.125000         1.575000         0.000000        -0.000055
     0.125000         1.625000         0.000000        -0.000034
     0.125000         1.675000         0.000000         0.000007
     0.125000         1.725000         0.000000         0.000042
     0.125000         1.775000         0.000000         0.000052
     0.125000         1.825000         0.000000         0.000030
     0.125000         1.875000         0.000000        -0.000009
     0.125000         1.925000         0.000000        -0.000043
     0.125000         1.975000         0.000000        -0.000051
     0.175000         0.025000         0.001428         0.002733
     0.175000         0.075000         0.002476         0.003640
     0.175000         0.125000         0.004291         0.004166
     0.175000         0.175000         0.007438         0.004250
     0.175000         0.225000         0.004291         0.003892
     0.175000         0.275000         0.002476         0.003167
     0.175000         0.325000         0.001428         0.002229
     0.175000         0.375000         0.000824         0.001269
     0.175000         0.425000         0.000475         0.000474
     0.175000         0.475000         0.000274        -0.000031
     0.175000         0.525000         0.000158        -0.000217
     0.175000         0.575000         0.000091        -0.000151
     0.175000         0.625000         0.000053         0.000036
     0.175000         0.675000         0.000030         0.000205
