#       x                y            Correxpect        Corryield
     0.012500         0.012500         0.080000         0.774240
     0.012500         0.037500         0.075153         0.807445
     0.012500         0.062500         0.070600         0.826540
     0.012500         0.087500         0.066322         0.831720
     0.012500         0.112500         0.062304         0.823683
     0.012500         0.137500         0.058529         0.803582
     0.012500         0.162500         0.054983         0.772963
     0.012500         0.187500         0.051652         0.733680
     0.012500         0.212500         0.048522         0.687802
     0.012500         0.237500         0.045583         0.637502
     0.012500         0.262500         0.042821         0.584959
     0.012500         0.287500         0.040227         0.532251
     0.012500         0.312500         0.037789         0.481260
     0.012500         0.337500         0.035500         0.433598
     0.012500         0.362500         0.033349         0.390540
     0.012500         0.387500         0.031328         0.352986
     0.012500         0.412500         0.029430         0.321441
     0.012500         0.437500         0.027647         0.296020
     0.012500         0.462500         0.025972         0.276475
     0.012500         0.487500         0.024399         0.262235
     0.012500         0.512500         0.022920         0.252474
     0.012500         0.537500         0.021532         0.246177
     0.012500         0.562500         0.020227         0.242226
     0.012500         0.587500         0.019002         0.239478
     0.012500         0.612500         0.017850         0.236842
     0.012500         0.637500         0.016769         0.233356
     0.012500         0.662500         0.015753         0.228241
     0.012500         0.687500         0.014799         0.220943
     0.012500         0.712500         0.013902         0.211165
     0.012500         0.737500         0.013060         0.198871
     0.012500         0.762500         0.012268         0.184273
     0.012500         0.787500         0.011525         0.167807
     0.012500         0.812500         0.010827         0.150090
     0.012500         0.837500         0.010171         0.131862
     0.012500         0.862500         0.009555         0.113930
     0.012500         0.887500         0.008976         0.097099
     0.012500         0.912500         0.008432         0.082112
     0.012500         0.937500         0.007921         0.069590
     0.012500         0.962500         0.007441         0.059988
     0.012500         0.987500         0.006990         0.053558
     0.037500         0.012500         0.075153         0.807445
     0.037500         0.037500         0.080000         0.842340
     0.037500         0.062500         0.075153         0.862787
     0.037500         0.087500         0.070600         0.868975
     0.037500         0.112500         0.066322         0.861599
     0.037500         0.137500         0.062304         0.841817
     0.037500         0.162500         0.058529         0.811188
     0.037500         0.187500         0.054983         0.771582
     0.037500         0.212500         0.051652         0.725087
     0.037500         0.237500         0.048522         0.673906
     0.037500         0.262500         0.045583         0.620246
