              #x                      funcval                 funcval                 funcval                 funcval
            0.002500                 0.690556                 1.113228                 1.282172                 1.347647     
            0.007500                 0.699074                 1.126564                 1.296543                 1.361078     
            0.012500                 0.707532                 1.139399                 1.309339                 1.371162     
            0.017500                 0.715929                 1.151729                 1.320544                 1.377874     
            0.022500                 0.724264                 1.163549                 1.330145                 1.381198     
            0.027500                 0.732536                 1.174852                 1.338129                 1.381125     
            0.032500                 0.740744                 1.185633                 1.344488                 1.377657     
            0.037500                 0.748889                 1.195889                 1.349213                 1.370801     
            0.042500                 0.756968                 1.205614                 1.352299                 1.360574     
            0.047500                 0.764982                 1.214805                 1.353741                 1.347002     
            0.052500                 0.772930                 1.223456                 1.353539                 1.330117     
            0.057500                 0.780810                 1.231564                 1.351692                 1.309962     
            0.062500                 0.788623                 1.239126                 1.348203                 1.286585     
            0.067500                 0.796368                 1.246139                 1.343076                 1.260045     
            0.072500                 0.804044                 1.252598                 1.336317                 1.230406     
            0.077500                 0.811650                 1.258502                 1.327934                 1.197742     
            0.082500                 0.819185                 1.263847                 1.317938                 1.162133     
            0.087500                 0.826650                 1.268632                 1.306340                 1.123666     
            0.092500                 0.834043                 1.272854                 1.293155                 1.082436     
            0.097500                 0.841364                 1.276511                 1.278399                 1.038545     
            0.102500                 0.848612                 1.279602                 1.262090                 0.992099     
            0.107500                 0.855787                 1.282125                 1.244247                 0.943214     
            0.112500                 0.862887                 1.284079                 1.224893                 0.892010     
            0.117500                 0.869913                 1.285463                 1.204050                 0.838612     
            0.122500                 0.876863                 1.286277                 1.181744                 0.783153     
            0.127500                 0.883737                 1.286521                 1.158002                 0.725767     
            0.132500                 0.890535                 1.286194                 1.132854                 0.666597     
            0.137500                 0.897255                 1.285296                 1.106329                 0.605788     
            0.142500                 0.903898                 1.283827                 1.078459                 0.543489     
            0.147500                 0.910463                 1.281790                 1.049280                 0.479854     
            0.152500                 0.916948                 1.279183                 1.018825                 0.415038     
            0.157500                 0.923355                 1.276009                 0.987133                 0.349203     
            0.162500                 0.929681                 1.272269                 0.954241                 0.282508     
            0.167500                 0.935927                 1.267965                 0.920190                 0.215119     
            0.172500                 0.942091                 1.263098                 0.885020                 0.147201     
            0.177500                 0.948174                 1.257670                 0.848776                 0.078921     
            0.182500                 0.954175                 1.251684                 0.811500                 0.010447     
            0.187500                 0.960093                 1.245144                 0.773238                -0.058053     
            0.192500                 0.965928                 1.238050                 0.734036                -0.126410     
