#  xpos   Snphi
  0.050000    6.171927
  0.150000    7.330670
  0.250000    8.457133
  0.350000    9.555586
  0.450000   10.629358
  0.550000   11.681011
  0.650000   12.712477
  0.750000   13.725180
  0.850000   14.720127
  0.950000   15.697991
  1.050000   16.659172
  1.150000   17.603852
  1.250000   18.532035
  1.350000   19.443587
  1.450000   20.338264
  1.550000   21.215734
  1.650000   22.075598
  1.750000   22.917407
  1.850000   23.740674
  1.950000   24.544885
  2.050000   25.329511
  2.150000   26.094009
  2.250000   26.837833
  2.350000   27.560440
  2.450000   28.261287
  2.550000   28.939844
  2.650000   29.595588
  2.750000   30.228011
  2.850000   30.836619
  2.950000   31.420935
  3.050000   31.980499
  3.150000   32.514869
  3.250000   33.023623
  3.350000   33.506360
  3.450000   33.962698
  3.550000   34.392277
  3.650000   34.794758
  3.750000   35.169824
  3.850000   35.517180
  3.950000   35.836553
  4.050000   36.127692
  4.150000   36.390368
  4.250000   36.624378
  4.350000   36.829536
  4.450000   37.005685
  4.550000   37.152685
  4.650000   37.270423
  4.750000   37.358806
  4.850000   37.417767
  4.950000   37.447258
  5.050000   37.447258
  5.150000   37.417767
  5.250000   37.358806
  5.350000   37.270423
  5.450000   37.152685
  5.550000   37.005685
  5.650000   36.829536
  5.750000   36.624378
  5.850000   36.390368
  5.950000   36.127692
  6.050000   35.836553
  6.150000   35.517180
  6.250000   35.169824
  6.350000   34.794758
  6.450000   34.392277
  6.550000   33.962698
  6.650000   33.506360
  6.750000   33.023623
  6.850000   32.514869
  6.950000   31.980499
  7.050000   31.420935
  7.150000   30.836619
  7.250000   30.228011
  7.350000   29.595588
  7.450000   28.939844
  7.550000   28.261287
  7.650000   27.560440
  7.750000   26.837833
  7.850000   26.094009
  7.950000   25.329511
  8.050000   24.544885
  8.150000   23.740674
  8.250000   22.917407
  8.350000   22.075598
  8.450000   21.215734
  8.550000   20.338264
  8.650000   19.443587
  8.750000   18.532035
  8.850000   17.603852
  8.950000   16.659172
  9.050000   15.697991
  9.150000   14.720127
  9.250000   13.725180
  9.350000   12.712477
  9.450000   11.681011
  9.550000   10.629358
  9.650000    9.555586
  9.750000    8.457133
  9.850000    7.330670
  9.950000    6.171927
