#  xpos   diffphi
  0.050000    6.890733
  0.150000    7.851657
  0.250000    8.811049
  0.350000    9.767785
  0.450000   10.720766
  0.550000   11.668916
  0.650000   12.611185
  0.750000   13.546544
  0.850000   14.473989
  0.950000   15.392540
  1.050000   16.301241
  1.150000   17.199160
  1.250000   18.085386
  1.350000   18.959034
  1.450000   19.819243
  1.550000   20.665175
  1.650000   21.496015
  1.750000   22.310971
  1.850000   23.109277
  1.950000   23.890188
  2.050000   24.652983
  2.150000   25.396966
  2.250000   26.121463
  2.350000   26.825823
  2.450000   27.509420
  2.550000   28.171650
  2.650000   28.811933
  2.750000   29.429713
  2.850000   30.024455
  2.950000   30.595650
  3.050000   31.142810
  3.150000   31.665473
  3.250000   32.163198
  3.350000   32.635567
  3.450000   33.082187
  3.550000   33.502688
  3.650000   33.896722
  3.750000   34.263964
  3.850000   34.604114
  3.950000   34.916894
  4.050000   35.202050
  4.150000   35.459349
  4.250000   35.688584
  4.350000   35.889570
  4.450000   36.062144
  4.550000   36.206168
  4.650000   36.321525
  4.750000   36.408125
  4.850000   36.465896
  4.950000   36.494794
  5.050000   36.494794
  5.150000   36.465896
  5.250000   36.408125
  5.350000   36.321525
  5.450000   36.206168
  5.550000   36.062144
  5.650000   35.889570
  5.750000   35.688584
  5.850000   35.459349
  5.950000   35.202050
  6.050000   34.916894
  6.150000   34.604114
  6.250000   34.263964
  6.350000   33.896722
  6.450000   33.502688
  6.550000   33.082187
  6.650000   32.635567
  6.750000   32.163198
  6.850000   31.665473
  6.950000   31.142810
  7.050000   30.595650
  7.150000   30.024455
  7.250000   29.429713
  7.350000   28.811933
  7.450000   28.171650
  7.550000   27.509420
  7.650000   26.825823
  7.750000   26.121463
  7.850000   25.396966
  7.950000   24.652983
  8.050000   23.890188
  8.150000   23.109277
  8.250000   22.310971
  8.350000   21.496015
  8.450000   20.665175
  8.550000   19.819243
  8.650000   18.959034
  8.750000   18.085386
  8.850000   17.199160
  8.950000   16.301241
  9.050000   15.392540
  9.150000   14.473989
  9.250000   13.546544
  9.350000   12.611185
  9.450000   11.668916
  9.550000   10.720766
  9.650000    9.767785
  9.750000    8.811049
  9.850000    7.851657
  9.950000    6.890733
