#cell center,       ave flux,        flux dev
      0.0125000      2.0152612      0.0258536
      0.0375000      1.9646506      0.0227793
      0.0625000      1.9221992      0.0222825
      0.0875000      1.8841645      0.0229181
      0.1125000      1.8493198      0.0243038
      0.1375000      1.8167153      0.0259984
      0.1625000      1.7860004      0.0277547
      0.1875000      1.7567901      0.0293688
      0.2125000      1.7289412      0.0307478
      0.2375000      1.7022856      0.0318768
      0.2625000      1.6766885      0.0327177
      0.2875000      1.6519896      0.0333101
      0.3125000      1.6281155      0.0337252
      0.3375000      1.6050721      0.0341127
      0.3625000      1.5826848      0.0343805
      0.3875000      1.5608968      0.0345442
      0.4125000      1.5397175      0.0346214
      0.4375000      1.5191060      0.0346877
      0.4625000      1.4990183      0.0346905
      0.4875000      1.4793744      0.0347355
      0.5125000      1.4602392      0.0347491
      0.5375000      1.4415565      0.0347344
      0.5625000      1.4233619      0.0346790
      0.5875000      1.4055380      0.0345979
      0.6125000      1.3880695      0.0345011
      0.6375000      1.3709652      0.0344881
      0.6625000      1.3542366      0.0344919
      0.6875000      1.3378674      0.0345183
      0.7125000      1.3217794      0.0344047
      0.7375000      1.3060254      0.0343003
      0.7625000      1.2905450      0.0341922
      0.7875000      1.2753179      0.0340439
      0.8125000      1.2603900      0.0338783
      0.8375000      1.2457141      0.0336818
      0.8625000      1.2313234      0.0335181
      0.8875000      1.2171051      0.0333466
      0.9125000      1.2031001      0.0332029
      0.9375000      1.1892946      0.0330989
      0.9625000      1.1757192      0.0329930
      0.9875000      1.1623513      0.0328482
