              #x                      Sigval                  Sigval                  Sigval 
            0.166667                 1.100389                 1.100389                 1.167782     
            0.500000                 1.233976                 1.233976                 1.379831     
            0.833333                 1.365025                 1.365025                 1.575607     
            1.166667                 1.492155                 1.492155                 1.747636     
            1.500000                 1.614026                 1.614026                 1.890350     
            1.833333                 1.729355                 1.729355                 2.000502     
            2.166667                 1.836928                 1.836928                 2.077365     
            2.500000                 1.935609                 1.935609                 2.122697     
            2.833333                 2.024361                 2.024361                 2.140483     
            3.166667                 2.102247                 2.102247                 2.136468     
            3.500000                 2.168447                 2.168447                 2.117546     
            3.833333                 2.222264                 2.222264                 2.091033     
            4.166667                 2.263131                 2.263131                 2.063928     
            4.500000                 2.290618                 2.290618                 2.042199     
            4.833333                 2.304434                 2.304434                 2.030191     
            5.166667                 2.304434                 2.304434                 2.030191     
            5.500000                 2.290618                 2.290618                 2.042199     
            5.833333                 2.263131                 2.263131                 2.063928     
            6.166667                 2.222264                 2.222264                 2.091033     
            6.500000                 2.168447                 2.168447                 2.117546     
            6.833333                 2.102247                 2.102247                 2.136468     
            7.166667                 2.024361                 2.024361                 2.140483     
            7.500000                 1.935609                 1.935609                 2.122697     
            7.833333                 1.836928                 1.836928                 2.077365     
            8.166667                 1.729355                 1.729355                 2.000502     
            8.500000                 1.614026                 1.614026                 1.890350     
            8.833333                 1.492155                 1.492155                 1.747636     
            9.166667                 1.365025                 1.365025                 1.575607     
            9.500000                 1.233976                 1.233976                 1.379831     
            9.833333                 1.100389                 1.100389                 1.167782     
