              #x                      Sigval                  Sigval                  Sigval                  Sigval 
            0.016667                 0.363870                 0.761443                 0.966609                 0.648771     
            0.050000                 0.373396                 0.761591                 0.996580                 0.649025     
            0.083333                 0.410736                 0.749172                 1.026448                 0.645550     
            0.116667                 0.472080                 0.725754                 1.054713                 0.638536     
            0.150000                 0.550995                 0.694025                 1.079297                 0.628408     
            0.183333                 0.639096                 0.657501                 1.097811                 0.615804     
            0.216667                 0.726928                 0.620156                 1.107893                 0.601539     
            0.250000                 0.804954                 0.585995                 1.107564                 0.586561     
            0.283333                 0.864551                 0.558638                 1.095562                 0.571898     
            0.316667                 0.898910                 0.540937                 1.071626                 0.558593     
            0.350000                 0.903734                 0.534680                 1.036657                 0.547651     
            0.383333                 0.877682                 0.540414                 0.992771                 0.539975     
            0.416667                 0.822489                 0.557391                 0.943200                 0.536313     
            0.450000                 0.742769                 0.583668                 0.892060                 0.537213     
            0.483333                 0.645515                 0.616320                 0.843995                 0.542986     
            0.516667                 0.539359                 0.651769                 0.803745                 0.553682     
            0.550000                 0.433663                 0.686166                 0.775665                 0.569083     
            0.583333                 0.337548                 0.715817                 0.763248                 0.588705     
            0.616667                 0.258960                 0.737576                 0.768721                 0.611823     
            0.650000                 0.203876                 0.749178                 0.792733                 0.637497     
            0.683333                 0.175735                 0.749481                 0.834195                 0.664620     
            0.716667                 0.175141                 0.738573                 0.890276                 0.691971     
            0.750000                 0.199888                 0.717758                 0.956584                 0.718277     
            0.783333                 0.245281                 0.689393                 1.027493                 0.742274     
            0.816667                 0.304726                 0.656626                 1.096612                 0.762772     
            0.850000                 0.370515                 0.623040                 1.157337                 0.778717     
            0.883333                 0.434727                 0.592256                 1.203447                 0.789242     
            0.916667                 0.490132                 0.567526                 1.229671                 0.793715     
            0.950000                 0.531003                 0.551382                 1.232188                 0.791772     
            0.983333                 0.553757                 0.545351                 1.208992                 0.783338     
