#cell center,       ave flux,        flux dev
      0.0250000      1.2087833      0.0303116
      0.0750000      1.0534825      0.0824676
      0.1250000      0.8938077      0.1294768
      0.1750000      0.7503979      0.1626621
      0.2250000      0.6283770      0.1841774
      0.2750000      0.5272035      0.1964150
      0.3250000      0.4428844      0.2028331
      0.3750000      0.3733946      0.2041753
      0.4250000      0.3160469      0.2022259
      0.4750000      0.2685974      0.1969659
      0.5250000      0.2290213      0.1910115
      0.5750000      0.1965424      0.1844013
      0.6250000      0.1690875      0.1768449
      0.6750000      0.1463587      0.1692152
      0.7250000      0.1270305      0.1614392
      0.7750000      0.1103688      0.1530270
      0.8250000      0.0960932      0.1453398
      0.8750000      0.0838829      0.1374035
      0.9250000      0.0734536      0.1297293
      0.9750000      0.0642883      0.1225158
      1.0250000      0.0565149      0.1156283
      1.0750000      0.0497088      0.1096246
      1.1250000      0.0439457      0.1036110
      1.1750000      0.0388182      0.0980288
      1.2250000      0.0344212      0.0931016
      1.2750000      0.0305285      0.0877752
      1.3250000      0.0271882      0.0830487
      1.3750000      0.0242136      0.0785170
      1.4250000      0.0215504      0.0741606
      1.4750000      0.0191590      0.0702248
      1.5250000      0.0170905      0.0664725
      1.5750000      0.0153493      0.0629314
      1.6250000      0.0138069      0.0594870
      1.6750000      0.0123826      0.0565640
      1.7250000      0.0110893      0.0538384
      1.7750000      0.0100171      0.0512246
      1.8250000      0.0091473      0.0496187
      1.8750000      0.0081825      0.0469665
      1.9250000      0.0073222      0.0448768
      1.9750000      0.0065667      0.0425108
      2.0250000      0.0059011      0.0405233
      2.0750000      0.0053391      0.0388942
      2.1250000      0.0048987      0.0378022
      2.1750000      0.0044261      0.0359678
      2.2250000      0.0039685      0.0345913
      2.2750000      0.0035766      0.0339646
      2.3250000      0.0032064      0.0322946
      2.3750000      0.0029080      0.0308561
      2.4250000      0.0026258      0.0306616
      2.4750000      0.0023544      0.0286666
      2.5250000      0.0021131      0.0264966
      2.5750000      0.0019248      0.0254862
      2.6250000      0.0017532      0.0247746
      2.6750000      0.0015717      0.0227605
      2.7250000      0.0014463      0.0214237
      2.7750000      0.0012995      0.0199217
      2.8250000      0.0011770      0.0186894
      2.8750000      0.0010511      0.0173655
      2.9250000      0.0009320      0.0154354
      2.9750000      0.0008764      0.0147031
      3.0250000      0.0007367      0.0117529
      3.0750000      0.0006755      0.0110214
      3.1250000      0.0006110      0.0099683
      3.1750000      0.0005240      0.0086257
      3.2250000      0.0004562      0.0078787
      3.2750000      0.0004032      0.0069362
      3.3250000      0.0003514      0.0062363
      3.3750000      0.0003214      0.0056053
      3.4250000      0.0002863      0.0049164
      3.4750000      0.0002472      0.0042831
      3.5250000      0.0002188      0.0035387
      3.5750000      0.0001881      0.0030880
      3.6250000      0.0001638      0.0027703
      3.6750000      0.0001498      0.0024929
      3.7250000      0.0001300      0.0022905
      3.7750000      0.0001222      0.0020287
      3.8250000      0.0001126      0.0017164
      3.8750000      0.0000938      0.0014653
      3.9250000      0.0000807      0.0013185
      3.9750000      0.0000748      0.0011815
      4.0250000      0.0000648      0.0010459
      4.0750000      0.0000511      0.0008068
      4.1250000      0.0000428      0.0006997
      4.1750000      0.0000380      0.0006408
      4.2250000      0.0000326      0.0005737
      4.2750000      0.0000329      0.0006710
      4.3250000      0.0000344      0.0006776
      4.3750000      0.0000268      0.0005076
      4.4250000      0.0000179      0.0004049
      4.4750000      0.0000164      0.0004053
      4.5250000      0.0000138      0.0003478
      4.5750000      0.0000112      0.0003070
      4.6250000      0.0000109      0.0002773
      4.6750000      0.0000094      0.0003094
      4.7250000      0.0000062      0.0001769
      4.7750000      0.0000062      0.0001797
      4.8250000      0.0000058      0.0001769
      4.8750000      0.0000067      0.0002128
      4.9250000      0.0000046      0.0001323
      4.9750000      0.0000038      0.0001065
