#cell center,       ave flux,        flux dev
      0.0250000      2.0925672      0.1379319
      0.0750000      2.1596220      0.2155329
      0.1250000      2.1021786      0.2981534
      0.1750000      1.9984845      0.3707099
      0.2250000      1.8754217      0.4299107
      0.2750000      1.7464263      0.4756615
      0.3250000      1.6184490      0.5089560
      0.3750000      1.4951934      0.5314960
      0.4250000      1.3785071      0.5449229
      0.4750000      1.2693527      0.5508533
      0.5250000      1.1678388      0.5506859
      0.5750000      1.0738134      0.5456289
      0.6250000      0.9870727      0.5367218
      0.6750000      0.9070346      0.5247473
      0.7250000      0.8333619      0.5106456
      0.7750000      0.7655833      0.4949128
      0.8250000      0.7032305      0.4780786
      0.8750000      0.6458615      0.4604201
      0.9250000      0.5930759      0.4423010
      0.9750000      0.5445715      0.4241430
      1.0250000      0.5000690      0.4060262
      1.0750000      0.4591929      0.3880790
      1.1250000      0.4216865      0.3704351
      1.1750000      0.3873548      0.3533036
      1.2250000      0.3558328      0.3365321
      1.2750000      0.3270010      0.3203437
      1.3250000      0.3006180      0.3047158
      1.3750000      0.2764168      0.2895882
      1.4250000      0.2542152      0.2749777
      1.4750000      0.2339172      0.2610190
      1.5250000      0.2152685      0.2475090
      1.5750000      0.1981745      0.2345334
      1.6250000      0.1825088      0.2220921
      1.6750000      0.1681081      0.2102066
      1.7250000      0.1548498      0.1987994
      1.7750000      0.1426332      0.1878482
      1.8250000      0.1314008      0.1774341
      1.8750000      0.1210536      0.1675529
      1.9250000      0.1115185      0.1581441
      1.9750000      0.1027115      0.1491004
      2.0250000      0.0945858      0.1405229
      2.0750000      0.0870948      0.1324021
      2.1250000      0.0801838      0.1246456
      2.1750000      0.0738119      0.1173534
      2.2250000      0.0679517      0.1104670
      2.2750000      0.0625467      0.1039291
      2.3250000      0.0575735      0.0977380
      2.3750000      0.0529885      0.0918923
      2.4250000      0.0487657      0.0863543
      2.4750000      0.0448791      0.0812092
      2.5250000      0.0412928      0.0762597
      2.5750000      0.0380140      0.0716407
      2.6250000      0.0349960      0.0673060
      2.6750000      0.0322006      0.0631851
      2.7250000      0.0296352      0.0593173
      2.7750000      0.0272844      0.0557057
      2.8250000      0.0251152      0.0522415
      2.8750000      0.0231333      0.0490432
      2.9250000      0.0213017      0.0460088
      2.9750000      0.0196169      0.0431268
      3.0250000      0.0180650      0.0404421
      3.0750000      0.0166296      0.0378730
      3.1250000      0.0153083      0.0354685
      3.1750000      0.0140846      0.0331914
      3.2250000      0.0129658      0.0310540
      3.2750000      0.0119285      0.0290420
      3.3250000      0.0109801      0.0271623
      3.3750000      0.0101021      0.0253937
      3.4250000      0.0092946      0.0237651
      3.4750000      0.0085484      0.0221808
      3.5250000      0.0078623      0.0207281
      3.5750000      0.0072255      0.0193529
      3.6250000      0.0066477      0.0180793
      3.6750000      0.0061132      0.0168791
      3.7250000      0.0056203      0.0157587
      3.7750000      0.0051666      0.0147104
      3.8250000      0.0047453      0.0136968
      3.8750000      0.0043627      0.0127889
      3.9250000      0.0040034      0.0119118
      3.9750000      0.0036722      0.0110985
      4.0250000      0.0033685      0.0103306
      4.0750000      0.0030890      0.0096206
      4.1250000      0.0028299      0.0089355
      4.1750000      0.0025904      0.0083001
      4.2250000      0.0023656      0.0076923
      4.2750000      0.0021577      0.0071028
      4.3250000      0.0019657      0.0065618
      4.3750000      0.0017873      0.0060481
      4.4250000      0.0016178      0.0055495
      4.4750000      0.0014627      0.0050726
      4.5250000      0.0013209      0.0046448
      4.5750000      0.0011863      0.0042126
      4.6250000      0.0010615      0.0038144
      4.6750000      0.0009438      0.0034257
      4.7250000      0.0008307      0.0030412
      4.7750000      0.0007227      0.0026605
      4.8250000      0.0006213      0.0023117
      4.8750000      0.0005221      0.0019506
      4.9250000      0.0004245      0.0016006
      4.9750000      0.0003212      0.0012245
