#cell center,       ave flux,        flux dev
      0.0125000      2.5832493      0.3840313
      0.0375000      2.5157480      0.3689268
      0.0625000      2.4829389      0.3885532
      0.0875000      2.4446651      0.3819160
      0.1125000      2.4197872      0.3921678
      0.1375000      2.3443700      0.3924517
      0.1625000      2.3208199      0.3774295
      0.1875000      2.2987951      0.3904835
      0.2125000      2.2353055      0.3747472
      0.2375000      2.1954479      0.3748099
      0.2625000      2.1704606      0.3887097
      0.2875000      2.1247344      0.3803824
      0.3125000      2.0938140      0.3792445
      0.3375000      2.0559054      0.3968443
      0.3625000      2.0240907      0.3968592
      0.3875000      1.9984453      0.3922517
      0.4125000      1.9743930      0.3874001
      0.4375000      1.9271906      0.3875887
      0.4625000      1.8998499      0.3787558
      0.4875000      1.8701571      0.3785488
      0.5125000      1.8437037      0.3745990
      0.5375000      1.8304743      0.3669853
      0.5625000      1.7913667      0.3772968
      0.5875000      1.7458837      0.3624382
      0.6125000      1.7072805      0.3624361
      0.6375000      1.6841636      0.3381961
      0.6625000      1.6537764      0.3521996
      0.6875000      1.6359484      0.3544769
      0.7125000      1.5892916      0.3482025
      0.7375000      1.5532322      0.3371612
      0.7625000      1.5439390      0.3430251
      0.7875000      1.5000126      0.3276467
      0.8125000      1.4817153      0.3302626
      0.8375000      1.4314149      0.3101242
      0.8625000      1.4052314      0.3113101
      0.8875000      1.3691783      0.3095510
      0.9125000      1.3365348      0.2979199
      0.9375000      1.2876587      0.2842376
      0.9625000      1.2542182      0.2764833
      0.9875000      1.1991106      0.2705906
