#cell center,       ave flux,        flux dev
      0.0012500      1.5448711      0.7870617
      0.0037500      1.9235887      1.1919862
      0.0062500      2.7520265      1.8642965
      0.0087500      2.3467983      1.6898060
      0.0112500      1.8186454      1.1099947
      0.0137500      2.4526036      1.1529022
      0.0162500      2.0230222      1.3998070
      0.0187500      2.0390729      0.9930925
      0.0212500      2.7535989      1.3258226
      0.0237500      1.9473852      1.7612042
      0.0262500      1.6472255      1.3747969
      0.0287500      2.3738735      2.1536547
      0.0312500      1.7149105      1.7142642
      0.0337500      1.4256459      0.9516211
      0.0362500      1.8260893      1.2790561
      0.0387500      1.8645228      1.0748185
      0.0412500      1.8886240      1.3503282
      0.0437500      1.2215467      0.9980594
      0.0462500      1.4801011      1.1521150
      0.0487500      2.1490607      1.0524060
      0.0512500      2.3081056      1.4578039
      0.0537500      1.9320915      1.0386842
      0.0562500      1.7188243      0.9520404
      0.0587500      1.7759185      1.1486479
      0.0612500      2.0862212      1.6505932
      0.0637500      2.1008323      1.5672935
      0.0662500      2.2853915      2.8403685
      0.0687500      2.4263273      1.5990514
      0.0712500      1.9636222      0.6298421
      0.0737500      2.1962207      1.4731133
      0.0762500      1.9892917      1.4881917
      0.0787500      1.9150802      1.0885397
      0.0812500      1.9439168      1.6785010
      0.0837500      1.6417675      1.3903050
      0.0862500      1.3201709      0.9514132
      0.0887500      1.2886827      0.9478555
      0.0912500      2.7849484      1.2241343
      0.0937500      1.4270346      1.2357779
      0.0962500      1.4892716      0.7618859
      0.0987500      1.7826368      1.2377633
