#cell center,       ave flux
      0.0050000     20.6970030
      0.0150000     20.6368502
      0.0250000     21.1956335
      0.0350000     21.9940168
      0.0450000     22.1545270
      0.0550000     21.8348382
      0.0650000     21.4586625
      0.0750000     21.1376227
      0.0850000     20.8817205
      0.0950000     20.3000712
      0.1050000     20.1913418
      0.1150000     19.9727720
      0.1250000     18.5653913
      0.1350000     18.1877354
      0.1450000     18.0380433
      0.1550000     18.0380433
      0.1650000     18.0380433
      0.1750000     18.0380433
      0.1850000     17.7755954
      0.1950000     17.6100250
      0.2050000     17.5932567
      0.2150000     17.3043185
      0.2250000     18.5126433
      0.2350000     19.2287890
      0.2450000     18.9155007
      0.2550000     18.9411821
      0.2650000     18.9199435
      0.2750000     18.4339770
      0.2850000     18.0639812
      0.2950000     17.4064523
      0.3050000     19.4495119
      0.3150000     19.9492911
      0.3250000     19.9880319
      0.3350000     20.3594965
      0.3450000     20.3990720
      0.3550000     20.3885460
      0.3650000     20.4860036
      0.3750000     15.3110472
      0.3850000     16.9879379
      0.3950000     19.5566203
      0.4050000     16.7933591
      0.4150000     17.8380863
      0.4250000     18.0137004
      0.4350000     22.1082033
      0.4450000     25.1562627
      0.4550000     25.5626906
      0.4650000     25.0050904
      0.4750000     24.8298167
      0.4850000     23.3052095
      0.4950000     23.1376350
      0.5050000     23.2694868
      0.5150000     22.8351398
      0.5250000     19.4913599
      0.5350000     16.5926654
      0.5450000     16.3353252
      0.5550000     15.9181062
      0.5650000     28.1271767
      0.5750000     32.0594969
      0.5850000     32.7652525
      0.5950000     30.1556433
      0.6050000     17.4047999
      0.6150000     18.6597461
      0.6250000     18.9363487
      0.6350000     17.9638021
      0.6450000     17.5513255
      0.6550000     17.9216389
      0.6650000     17.6633367
      0.6750000     17.8227970
      0.6850000     17.8227970
      0.6950000     19.3775270
      0.7050000     16.7585073
      0.7150000     15.5205712
      0.7250000     15.6932431
      0.7350000     15.4213648
      0.7450000     19.7695174
      0.7550000     20.2118117
      0.7650000     19.0712022
      0.7750000     19.0090568
      0.7850000     18.7780812
      0.7950000     18.3066088
      0.8050000     15.1232819
      0.8150000     14.5445277
      0.8250000     14.7975443
      0.8350000     13.8838407
      0.8450000     13.6934525
      0.8550000     13.5262825
      0.8650000     13.5537403
      0.8750000     13.6157220
      0.8850000     13.8577127
      0.8950000     13.4274012
      0.9050000     13.1882149
      0.9150000     12.8468829
      0.9250000     12.7765955
      0.9350000     13.1974115
      0.9450000     12.2749043
      0.9550000     12.8195178
      0.9650000     12.1350061
      0.9750000     11.9422791
      0.9850000     11.8140639
      0.9950000     11.8140639
