#cell center,       ave mat1 flux,   ave mat2 flux
      0.1250000      2.1582062     16.1260264
      0.3750000      1.9178189     16.6708906
      0.6250000      1.7451699     16.2890350
      0.8750000      1.6267951     15.6100780
      1.1250000      1.5065421     14.5977179
      1.3750000      1.4164954     13.9859904
      1.6250000      1.3108324     13.0410520
      1.8750000      1.2302940     12.3265089
      2.1250000      1.1610138     11.4653287
      2.3750000      1.0879067     10.7237374
      2.6250000      1.0308253     10.1566503
      2.8750000      0.9835504      9.7793705
      3.1250000      0.9318797      9.2563257
      3.3750000      0.8571862      8.5312590
      3.6250000      0.8132867      8.1465531
      3.8750000      0.7705702      7.5926842
      4.1250000      0.7287370      7.3112885
      4.3750000      0.6937403      6.9717893
      4.6250000      0.6663795      6.5362463
      4.8750000      0.6166068      6.0741126
      5.1250000      0.5817429      5.8132885
      5.3750000      0.5638420      5.5918461
      5.6250000      0.5341176      5.2756992
      5.8750000      0.5020492      4.9039708
      6.1250000      0.4718077      4.5653240
      6.3750000      0.4438282      4.4370500
      6.6250000      0.4295547      4.2175542
      6.8750000      0.3994073      3.9126762
      7.1250000      0.3811572      3.7447914
      7.3750000      0.3611180      3.6315848
      7.6250000      0.3484607      3.4030812
      7.8750000      0.3201735      3.1063677
      8.1250000      0.3113607      3.0610437
      8.3750000      0.2934660      2.8627320
      8.6250000      0.2784407      2.7310407
      8.8750000      0.2566985      2.5762636
      9.1250000      0.2418899      2.4249349
      9.3750000      0.2277294      2.4440679
      9.6250000      0.2165356      2.5017235
      9.8750000      0.1949823      3.3072410
