#cell center,       ave flux
      0.0012500      2.2671267
      0.0037500      2.2191063
      0.0062500      2.1934387
      0.0087500      2.1854992
      0.0112500      2.1670323
      0.0137500      2.1478491
      0.0162500      2.1363174
      0.0187500      2.1398844
      0.0212500      2.0936374
      0.0237500      2.1102826
      0.0262500      2.0897860
      0.0287500      2.0976846
      0.0312500      2.0574614
      0.0337500      2.0275368
      0.0362500      2.0237153
      0.0387500      2.0150660
      0.0412500      1.9866140
      0.0437500      1.9793059
      0.0462500      1.9723678
      0.0487500      1.9665008
      0.0512500      1.9557279
      0.0537500      1.9560495
      0.0562500      1.9733729
      0.0587500      1.9437168
      0.0612500      1.8875147
      0.0637500      1.8781094
      0.0662500      1.8705586
      0.0687500      1.8496528
      0.0712500      1.8361235
      0.0737500      1.8388659
      0.0762500      1.8217273
      0.0787500      1.7862837
      0.0812500      1.8080916
      0.0837500      1.8039488
      0.0862500      1.7866853
      0.0887500      1.7478895
      0.0912500      1.7531818
      0.0937500      1.7145878
      0.0962500      1.7101619
      0.0987500      1.6727773
