#cell center,       ave flux
      0.0300000      2.6275600
      0.0900000      2.4574316
      0.1500000      2.3917579
      0.2100000      2.2688011
      0.2700000      2.2078920
      0.3300000      2.1392579
      0.3900000      2.0558081
      0.4500000      2.0407706
      0.5100000      1.9923345
      0.5700000      1.9420530
      0.6300000      1.9115415
      0.6900000      1.8558092
      0.7500000      1.8005963
      0.8100000      1.6911607
      0.8700000      1.7203035
      0.9300000      1.6492902
      0.9900000      1.6047239
      1.0500000      1.5588845
      1.1100000      1.5411102
      1.1700000      1.5081199
      1.2300000      1.4319691
      1.2900000      1.4075963
      1.3500000      1.3888426
      1.4100000      1.3329630
      1.4700000      1.3605793
      1.5300000      1.2255758
      1.5900000      1.2420041
      1.6500000      1.1964813
      1.7100000      1.1391408
      1.7700000      1.1374836
      1.8300000      1.1074738
      1.8900000      1.0513825
      1.9500000      1.0252610
      2.0100000      1.0175551
      2.0700000      0.9451986
      2.1300000      0.9234595
      2.1900000      0.9138192
      2.2500000      0.9036700
      2.3100000      0.8597478
      2.3700000      0.8395999
      2.4300000      0.7929698
      2.4900000      0.7287551
      2.5500000      0.7181100
      2.6100000      0.7015084
      2.6700000      0.6672678
      2.7300000      0.5957150
      2.7900000      0.6132398
      2.8500000      0.6079356
      2.9100000      0.6087790
      2.9700000      0.5425616
