#cell center,       ave flux,        flux dev
      0.0050000      5.1374236      8.1576794
      0.0150000      5.0252725      7.6811793
      0.0250000      4.9928368      7.6802705
      0.0350000      4.9852536      7.6873786
      0.0450000      4.9818076      7.7396665
      0.0550000      4.9561343      7.7318856
      0.0650000      4.9199133      7.7150783
      0.0750000      4.9219870      7.7378473
      0.0850000      4.9073627      7.7411953
      0.0950000      4.8914026      7.7453576
      0.1050000      4.9440881      7.9899524
      0.1150000      4.9448665      8.0463723
      0.1250000      4.9874922      8.3175211
      0.1350000      5.0479069      9.2464544
      0.1450000      5.0204836      9.2532761
      0.1550000      4.9767500      9.2192129
      0.1650000      4.8362381      8.1321423
      0.1750000      4.7697658      7.7406770
      0.1850000      4.7191429      7.8408421
      0.1950000      4.6304587      7.5062984
      0.2050000      4.5669369      7.4735272
      0.2150000      4.5365690      7.4747840
      0.2250000      4.4969997      7.4749055
      0.2350000      4.5278703      7.6561127
      0.2450000      4.4340634      7.4343913
      0.2550000      4.3891592      7.3939112
      0.2650000      4.3961000      7.4419222
      0.2750000      4.3853639      7.5683805
      0.2850000      4.3563744      7.5679165
      0.2950000      4.3217722      7.5521075
      0.3050000      4.2463599      7.3730394
      0.3150000      4.2107082      7.3709420
      0.3250000      4.1875195      7.3575298
      0.3350000      4.1575383      7.3351972
      0.3450000      4.1310458      7.3224627
      0.3550000      4.0868748      7.2873104
      0.3650000      4.1692700      7.7862836
      0.3750000      4.2319488      8.9043348
      0.3850000      4.2294491      8.9808635
      0.3950000      4.1532949      8.8691261
      0.4050000      4.1345358      8.8673845
      0.4150000      4.1035944      8.8682098
      0.4250000      4.1641020      9.1474820
      0.4350000      4.1131497      9.1485974
      0.4450000      4.0503516      9.1171325
      0.4550000      4.0076416      9.1131767
      0.4650000      3.9647980      9.1029986
      0.4750000      3.9977988      9.3202136
      0.4850000      3.9423454      8.4702237
      0.4950000      3.8408823      8.0964854
      0.5050000      3.8177676      8.0968285
      0.5150000      3.7589546      7.8163761
      0.5250000      3.6609254      7.6432070
      0.5350000      3.5635252      7.3339228
      0.5450000      3.5491552      7.3240061
      0.5550000      3.4503791      7.0430966
      0.5650000      3.4136926      7.0430068
      0.5750000      3.3812247      7.0381073
      0.5850000      3.2604334      6.0838031
      0.5950000      3.1309836      4.9421793
      0.6050000      3.1404282      5.2122767
      0.6150000      3.0999211      5.2513981
      0.6250000      3.0520006      5.2223649
      0.6350000      3.1066576      5.9102807
      0.6450000      3.0715384      5.9327329
      0.6550000      3.0528620      5.9277825
      0.6650000      3.0138638      5.9115605
      0.6750000      2.9773345      5.9070967
      0.6850000      3.0239322      6.3946434
      0.6950000      2.9126455      5.8609136
      0.7050000      2.8470985      5.5860834
      0.7150000      2.7395630      5.1620242
      0.7250000      2.7216220      5.1960642
      0.7350000      2.6494130      4.7489608
      0.7450000      2.5535484      4.3067667
      0.7550000      2.5228952      4.3010483
      0.7650000      2.5155067      4.3387773
      0.7750000      2.4675600      4.3454031
      0.7850000      2.4509362      4.4032612
      0.7950000      2.4117919      4.3688556
      0.8050000      2.3920638      4.5208853
      0.8150000      2.3033843      4.0763096
      0.8250000      2.2614199      3.9982977
      0.8350000      2.1619361      3.6060539
      0.8450000      2.1170787      3.5809742
      0.8550000      2.0575428      3.5412441
      0.8650000      1.9734549      3.0338694
      0.8750000      1.8711950      2.7182284
      0.8850000      1.7467790      1.8937184
      0.8950000      1.7060357      1.8532814
      0.9050000      1.6436638      1.3602601
      0.9150000      1.5836659      1.2377704
      0.9250000      1.5149162      0.9272617
      0.9350000      1.4794895      0.9169943
      0.9450000      1.4419928      0.8972358
      0.9550000      1.3990540      0.8228146
      0.9650000      1.3669910      0.8061773
      0.9750000      1.3226161      0.6651594
      0.9850000      1.2634624      0.4804132
      0.9950000      1.2057096      0.2075296
