#cell center,       ave mat1 flux,   flux mat1 dev,   ave mat2 flux,   flux mat2 dev
      0.0300000      2.6007002      1.5692911      2.4935750      4.9700498
      0.0900000      2.5459935      1.5858078      2.3986034      4.7373048
      0.1500000      2.3364011      1.4713903      2.3813732      4.7700955
      0.2100000      2.3598335      1.5126849      2.2303622      4.7053431
      0.2700000      2.2510892      1.4428903      2.3242976      4.9648572
      0.3300000      2.1928173      1.4328150      2.1143479      4.5796729
      0.3900000      2.1147526      1.3840337      2.1688968      4.7334394
      0.4500000      2.0328653      1.3589296      2.0369064      4.5215376
      0.5100000      1.9896694      1.3534909      2.0438312      4.4835401
      0.5700000      1.8631660      1.2581267      1.9658065      4.3176507
      0.6300000      1.8669336      1.3488186      1.9243072      4.2208711
      0.6900000      1.8207381      1.2977811      1.8457104      3.8678537
      0.7500000      1.7643852      1.3697961      1.9090210      3.9096048
      0.8100000      1.8176676      1.3944009      1.6753110      3.2978754
      0.8700000      1.6372401      1.2942444      1.7659465      3.5345125
      0.9300000      1.6499833      1.2205798      1.6258631      3.4553815
      0.9900000      1.5929179      1.2574344      1.5352656      3.2536050
      1.0500000      1.6027051      1.2090472      1.5509500      3.3373923
      1.1100000      1.5030630      1.1416544      1.5932797      3.5371167
      1.1700000      1.4710734      1.1467363      1.4970807      3.4476261
      1.2300000      1.4452207      1.1354286      1.4684919      3.3086831
      1.2900000      1.4108121      1.0942256      1.3706437      3.1148114
      1.3500000      1.3250092      1.0442272      1.4974405      3.7033960
      1.4100000      1.3504375      1.0645143      1.3367957      3.2457317
      1.4700000      1.2642455      1.0125507      1.2823427      2.9907523
      1.5300000      1.2500114      1.0325557      1.1935350      2.7846822
      1.5900000      1.2562879      1.0176040      1.1758110      2.8529710
      1.6500000      1.1557123      0.9496185      1.1404116      2.7498775
      1.7100000      1.1232623      0.9342153      1.1315723      2.7799027
      1.7700000      1.0800991      0.8978105      1.1522646      2.8366372
      1.8300000      1.1120711      0.9548312      1.0384292      2.5533549
      1.8900000      1.0379797      0.8674752      1.0085328      2.4155678
      1.9500000      1.0504018      0.8970829      1.0306375      2.5443345
      2.0100000      0.9873769      0.8535137      1.0245895      2.6253745
      2.0700000      0.9340259      0.8210889      0.9143433      2.2827284
      2.1300000      0.8930901      0.8039097      0.9339052      2.3801811
      2.1900000      0.9277809      0.8117219      0.8706807      2.2693670
      2.2500000      0.9023864      0.8156190      0.8694916      2.1270434
      2.3100000      0.8733153      0.7838285      0.7765307      1.8866627
      2.3700000      0.8534871      0.7874730      0.7960655      2.0125921
      2.4300000      0.7927626      0.7578598      0.8084988      1.9548589
      2.4900000      0.7956175      0.7608983      0.7110231      1.7113298
      2.5500000      0.7346111      0.6885178      0.7689120      2.1142939
      2.6100000      0.7380552      0.6967528      0.7240489      1.6764562
      2.6700000      0.6865696      0.6814297      0.7119253      1.7936902
      2.7300000      0.6540416      0.6100194      0.6515819      1.5197156
      2.7900000      0.6701632      0.6452091      0.6093632      1.3859788
      2.8500000      0.5973993      0.5802473      0.5590544      1.2474295
      2.9100000      0.5736240      0.5717503      0.5725828      1.2591444
      2.9700000      0.5352119      0.5352578      0.5270357      1.1765323
