#cell center,       ave flux,        flux dev
      0.0050000      4.8036248      4.5043243
      0.0150000      5.0144905      5.2922702
      0.0250000      5.3306673      5.2693094
      0.0350000      5.2054052      5.2291547
      0.0450000      5.2172237      5.2188669
      0.0550000      5.2971709      5.1431433
      0.0650000      5.1596677      5.0461625
      0.0750000      5.2763213      5.0832944
      0.0850000      4.7243223      4.3522581
      0.0950000      4.1511269      4.3551451
      0.1050000      3.1328328      1.8214428
      0.1150000      2.7780923      1.3189140
      0.1250000      2.6811434      1.1825730
      0.1350000      2.8567857      1.3254309
      0.1450000      3.3424256      2.3417000
      0.1550000      3.2122260      2.3340849
      0.1650000      3.1467103      2.3902888
      0.1750000      2.7135859      2.5447297
      0.1850000      3.0415480      2.4878983
      0.1950000      3.4078769      2.4259405
      0.2050000      3.8048176      3.8655763
      0.2150000      4.1853859      3.7658247
      0.2250000      4.1393036      3.7583006
      0.2350000      3.9757080      3.7824726
      0.2450000      3.9756094      3.7616877
      0.2550000      3.9513148      3.6695277
      0.2650000      4.0469933      3.8300266
      0.2750000      4.0313368      3.7505225
      0.2850000      3.5820666      3.3127575
      0.2950000      3.6084377      3.3817708
      0.3050000      3.8414284      3.6395542
      0.3150000      4.2737561      4.4154232
      0.3250000      3.2908445      2.6560330
      0.3350000      2.2445087      1.2202131
      0.3450000      2.1924434      1.2342848
      0.3550000      2.1679230      1.2731974
      0.3650000      2.1960909      1.1877161
      0.3750000      1.9393340      1.3366781
      0.3850000      1.9553531      1.3136768
      0.3950000      1.9671165      1.3249208
      0.4050000      1.9504401      1.2895220
      0.4150000      1.8214215      1.2862777
      0.4250000      1.8407590      1.4111847
      0.4350000      1.7951803      1.4136711
      0.4450000      1.7463107      1.3109686
      0.4550000      1.6384340      1.1572534
      0.4650000      1.6434127      1.1644312
      0.4750000      1.5247326      1.0939953
      0.4850000      1.5275263      1.0942318
      0.4950000      1.5443851      1.0971690
      0.5050000      1.5753197      1.1263935
      0.5150000      1.5988989      1.1848751
      0.5250000      1.5948298      1.2136357
      0.5350000      1.5076785      1.0950175
      0.5450000      1.4944023      1.0852035
      0.5550000      1.4344639      1.1110614
      0.5650000      1.4362283      1.1760349
      0.5750000      1.4411428      1.1274757
      0.5850000      1.4545544      1.1384021
      0.5950000      1.4667763      1.1479165
      0.6050000      1.5120644      1.2300974
      0.6150000      1.5254473      1.2436597
      0.6250000      1.5733601      1.3385759
      0.6350000      1.6217004      1.4229609
      0.6450000      1.4860361      1.2714875
      0.6550000      1.9331506      2.1582151
      0.6650000      1.1117606      1.4138153
      0.6750000      1.3174666      1.0259597
      0.6850000      1.3274641      1.0277690
      0.6950000      1.3418354      1.1511714
      0.7050000      1.2453115      1.2431525
      0.7150000      1.2221814      1.1283666
      0.7250000      1.2078806      1.0977069
      0.7350000      1.2203810      1.1073523
      0.7450000      1.7995615      2.4148710
      0.7550000      1.4101788      1.3202587
      0.7650000      1.6743212      2.0459144
      0.7750000      1.3226630      1.1054384
      0.7850000      1.0940607      0.8189198
      0.7950000      1.1331611      0.8360638
      0.8050000      1.2240755      0.7965155
      0.8150000      1.2637752      0.7825301
      0.8250000      1.2566745      0.7790828
      0.8350000      1.2644724      0.7597560
      0.8450000      1.2093609      0.7816712
      0.8550000      1.2150861      0.7898825
      0.8650000      1.2169534      0.8199399
      0.8750000      1.1995086      0.8382204
      0.8850000      1.1689969      0.8084785
      0.8950000      1.0718929      0.8238331
      0.9050000      1.0514878      0.8438387
      0.9150000      1.0947536      0.8629334
      0.9250000      0.9628824      0.8730210
      0.9350000      0.9537275      0.8810745
      0.9450000      0.9537275      0.8810745
      0.9550000      0.9475115      0.8662718
      0.9650000      0.9197314      0.8002005
      0.9750000      0.9139986      0.7939586
      0.9850000      0.9181279      0.7984181
      0.9950000      0.8681861      0.7579349
