#cell center,       ave mat1 flux,   flux mat1 dev,   ave mat2 flux,   flux mat2 dev
      0.0250000      2.3983112      4.6561438      2.7860777      1.4168747
      0.0750000      2.2233869      4.3146581      2.7306712      1.4113334
      0.1250000      2.0890581      4.0756605      2.6714610      1.3667811
      0.1750000      1.9997155      3.8242174      2.6125219      1.3725441
      0.2250000      1.9081351      3.6800658      2.5474670      1.3279643
      0.2750000      1.8595401      3.5494782      2.5280609      1.3558212
      0.3250000      1.7641042      3.2700108      2.4386950      1.3326702
      0.3750000      1.7081993      3.1119971      2.3941960      1.3366652
      0.4250000      1.6750673      3.0013269      2.3457838      1.3403942
      0.4750000      1.6023715      2.8825783      2.2971543      1.3167062
      0.5250000      1.5353487      2.8196690      2.2380753      1.2829589
      0.5750000      1.4843169      2.7222897      2.2086266      1.2739482
      0.6250000      1.4611293      2.7482074      2.1446257      1.2120979
      0.6750000      1.3872509      2.6523132      2.0964882      1.1801224
      0.7250000      1.3833133      2.6088024      2.0394305      1.1568520
      0.7750000      1.3216054      2.4637287      1.9936579      1.1404372
      0.8250000      1.2639398      2.4517521      1.9325731      1.0998051
      0.8750000      1.2402202      2.4372671      1.9118252      1.0760595
      0.9250000      1.2165658      2.4115613      1.8607876      1.0473287
      0.9750000      1.1817797      2.3845452      1.7923150      1.0092539
      1.0250000      1.1632449      2.3442331      1.7509168      0.9866552
      1.0750000      1.1281870      2.3185220      1.7061214      0.9440497
      1.1250000      1.1036066      2.2870462      1.6584749      0.9054792
      1.1750000      1.0944724      2.3792225      1.6086449      0.8610669
      1.2250000      1.0554620      2.3553922      1.5655997      0.8309569
      1.2750000      1.0232439      2.2800293      1.5221031      0.8132742
      1.3250000      0.9900546      2.1656804      1.4864849      0.8117065
      1.3750000      0.9624918      2.1408230      1.4466112      0.7836627
      1.4250000      0.9557808      2.1136365      1.3985891      0.7685240
      1.4750000      0.9457057      2.0544195      1.3652650      0.7729498
      1.5250000      0.8978527      1.9412098      1.3184100      0.7521739
      1.5750000      0.8746343      1.8436768      1.2696533      0.7353296
      1.6250000      0.8823766      1.8579828      1.2444706      0.7312920
      1.6750000      0.8654073      1.7776488      1.1795170      0.7102930
      1.7250000      0.8364376      1.6477994      1.1522378      0.7122821
      1.7750000      0.8151723      1.6174947      1.1020059      0.6864808
      1.8250000      0.7748701      1.5458818      1.0583652      0.6496418
      1.8750000      0.7484607      1.4879210      1.0012040      0.6222283
      1.9250000      0.7035049      1.3976615      0.9694773      0.6096488
      1.9750000      0.6639198      1.3431167      0.9019445      0.5648401
