#cell center,       ave flux,        flux dev
      0.0500000      2.7369089      0.3364529
      0.1500000      2.7019230      0.4946550
      0.2500000      2.5650290      0.5299453
      0.3500000      2.4568765      0.5754211
      0.4500000      2.3384648      0.5873575
      0.5500000      2.2263691      0.6002538
      0.6500000      2.1233900      0.6285179
      0.7500000      2.0133977      0.6164624
      0.8500000      1.9048989      0.5982340
      0.9500000      1.8006030      0.6135106
      1.0500000      1.7090930      0.5929965
      1.1500000      1.6423490      0.6121888
      1.2500000      1.5732408      0.6047484
      1.3500000      1.5316440      0.6118455
      1.4500000      1.4583794      0.5877088
      1.5500000      1.3805374      0.5530272
      1.6500000      1.3245732      0.5551263
      1.7500000      1.2642329      0.5310185
      1.8500000      1.2127916      0.5211535
      1.9500000      1.1585238      0.5146941
      2.0500000      1.1187074      0.5183250
      2.1500000      1.0712272      0.4885761
      2.2500000      1.0205909      0.4769680
      2.3500000      0.9748754      0.4753401
      2.4500000      0.9322319      0.4453821
      2.5500000      0.8907688      0.4237945
      2.6500000      0.8649484      0.4359596
      2.7500000      0.8367545      0.4325900
      2.8500000      0.7983767      0.4046061
      2.9500000      0.7622139      0.3870485
      3.0500000      0.7318240      0.3864238
      3.1500000      0.6988832      0.3696268
      3.2500000      0.6718665      0.3575531
      3.3500000      0.6549430      0.3637172
      3.4500000      0.6305718      0.3526169
      3.5500000      0.6092200      0.3468364
      3.6500000      0.5875030      0.3376942
      3.7500000      0.5695886      0.3298550
      3.8500000      0.5455677      0.3197166
      3.9500000      0.5234101      0.3044946
      4.0500000      0.5092597      0.3100014
      4.1500000      0.4883861      0.2948475
      4.2500000      0.4731031      0.2966184
      4.3500000      0.4499292      0.2752220
      4.4500000      0.4316249      0.2669803
      4.5500000      0.4187648      0.2657940
      4.6500000      0.4009564      0.2539486
      4.7500000      0.3882510      0.2496159
      4.8500000      0.3721128      0.2457565
      4.9500000      0.3588114      0.2453437
      5.0500000      0.3449695      0.2400466
      5.1500000      0.3260759      0.2261256
      5.2500000      0.3141450      0.2255431
      5.3500000      0.3032731      0.2182047
      5.4500000      0.2844208      0.1916139
      5.5500000      0.2764181      0.1894979
      5.6500000      0.2662211      0.1899304
      5.7500000      0.2529252      0.1788513
      5.8500000      0.2443778      0.1818717
      5.9500000      0.2341372      0.1766430
      6.0500000      0.2235799      0.1640004
      6.1500000      0.2182681      0.1713043
      6.2500000      0.2051617      0.1533291
      6.3500000      0.1963080      0.1470768
      6.4500000      0.1882315      0.1456450
      6.5500000      0.1793465      0.1380922
      6.6500000      0.1713806      0.1332097
      6.7500000      0.1641517      0.1267678
      6.8500000      0.1575764      0.1249906
      6.9500000      0.1530455      0.1281637
      7.0500000      0.1457308      0.1216773
      7.1500000      0.1392552      0.1149608
      7.2500000      0.1332319      0.1116729
      7.3500000      0.1291664      0.1136237
      7.4500000      0.1250978      0.1151387
      7.5500000      0.1166121      0.1028963
      7.6500000      0.1106947      0.0964425
      7.7500000      0.1054636      0.0914333
      7.8500000      0.1010168      0.0892610
      7.9500000      0.0974947      0.0908543
      8.0500000      0.0924629      0.0844459
      8.1500000      0.0886525      0.0856416
      8.2500000      0.0844969      0.0830891
      8.3500000      0.0787181      0.0777159
      8.4500000      0.0760270      0.0772929
      8.5500000      0.0722888      0.0761059
      8.6500000      0.0675896      0.0693632
      8.7500000      0.0634289      0.0633509
      8.8500000      0.0601700      0.0619055
      8.9500000      0.0578882      0.0602796
      9.0500000      0.0542602      0.0556360
      9.1500000      0.0507501      0.0534801
      9.2500000      0.0474332      0.0509931
      9.3500000      0.0437671      0.0457898
      9.4500000      0.0410680      0.0425716
      9.5500000      0.0386952      0.0419561
      9.6500000      0.0356104      0.0388884
      9.7500000      0.0332493      0.0365835
      9.8500000      0.0309330      0.0357176
      9.9500000      0.0276525      0.0312606
