#cell center,    ave flux mat1,   flux dev mat1,    ave flux mat2,   flux dev mat2
      0.0500000      2.7442302      0.8259506      2.6710176      7.1568699
      0.1500000      2.6313905      0.8346580      3.3367156      9.5936641
      0.2500000      2.4896278      0.8280823      3.2436397      9.3586864
      0.3500000      2.3448000      0.8388661      3.4655651      9.6547354
      0.4500000      2.2154076      0.8258470      3.4459799      9.3575275
      0.5500000      2.0954019      0.8168954      3.4050742      8.9991120
      0.6500000      1.9726657      0.8099506      3.4799090      9.1195025
      0.7500000      1.8778183      0.8005626      3.2336119      8.6237771
      0.8500000      1.7790445      0.7677924      3.0375876      7.8775889
      0.9500000      1.7014346      0.7328787      2.6931182      7.4733044
      1.0500000      1.6423266      0.7058714      2.3099910      6.7352980
      1.1500000      1.5852495      0.6948077      2.1562445      6.8267530
      1.2500000      1.5132603      0.6652718      2.1130654      6.6216472
      1.3500000      1.4137685      0.6811084      2.5925236      7.3213540
      1.4500000      1.3663722      0.6588990      2.2864434      6.8051516
      1.5500000      1.3074622      0.6317943      2.0382141      5.9310549
      1.6500000      1.2619027      0.6104584      1.8886072      5.8538944
      1.7500000      1.2120148      0.5899037      1.7341963      5.2334599
      1.8500000      1.1469838      0.5784845      1.8050624      5.2826497
      1.9500000      1.1103599      0.5592820      1.5919986      4.9590056
      2.0500000      1.0529810      0.5368826      1.7102453      5.3189999
      2.1500000      1.0061145      0.5260180      1.6572419      4.8416375
      2.2500000      0.9529691      0.5082591      1.6291874      4.7074536
      2.3500000      0.9124186      0.4853403      1.5369866      4.6629688
      2.4500000      0.8931002      0.4752935      1.2844168      4.0931394
      2.5500000      0.8694181      0.4672476      1.0829252      3.5405785
      2.6500000      0.8235814      0.4514953      1.2372512      3.9731342
      2.7500000      0.7888393      0.4404938      1.2679910      4.0846079
      2.8500000      0.7507499      0.4288693      1.2270179      3.6434479
      2.9500000      0.7300001      0.4193319      1.0521383      3.2835215
      3.0500000      0.7026626      0.4098514      0.9942760      3.2793717
      3.1500000      0.6855819      0.3949063      0.8185949      2.8553072
      3.2500000      0.6605738      0.3797865      0.7735006      2.6534193
      3.3500000      0.6265373      0.3653830      0.9105942      3.0709361
      3.4500000      0.6037989      0.3626444      0.8715281      2.9695173
      3.5500000      0.5827288      0.3520220      0.8476409      2.8894942
      3.6500000      0.5623576      0.3454491      0.8138123      2.8061114
      3.7500000      0.5272382      0.3364414      0.9507430      2.9195637
      3.8500000      0.5176394      0.3314725      0.7969227      2.6610415
      3.9500000      0.4979308      0.3220784      0.7527240      2.4018381
      4.0500000      0.4795330      0.3098533      0.7767994      2.6270687
      4.1500000      0.4601140      0.3022210      0.7428350      2.4079144
      4.2500000      0.4383353      0.2938987      0.7860135      2.5789359
      4.3500000      0.4210434      0.2813084      0.7099010      2.2299521
      4.4500000      0.4107517      0.2749004      0.6194841      2.0336722
      4.5500000      0.3930964      0.2668617      0.6497813      2.1156072
      4.6500000      0.3775578      0.2582515      0.6115434      1.9175600
      4.7500000      0.3581835      0.2515009      0.6588579      1.9951548
      4.8500000      0.3428645      0.2465766      0.6353473      2.0125327
      4.9500000      0.3271541      0.2395717      0.6437271      2.0265739
      5.0500000      0.3097964      0.2289750      0.6615273      2.0423877
      5.1500000      0.3054269      0.2254248      0.5119164      1.7647600
      5.2500000      0.2929052      0.2138276      0.5053038      1.7775890
      5.3500000      0.2775476      0.2049454      0.5348028      1.8387298
      5.4500000      0.2717451      0.2018265      0.3985022      1.2358989
      5.5500000      0.2583520      0.1983600      0.4390126      1.3313554
      5.6500000      0.2452716      0.1910864      0.4547666      1.4377017
      5.7500000      0.2388964      0.1885083      0.3791841      1.2282301
      5.8500000      0.2267398      0.1796673      0.4031204      1.3810349
      5.9500000      0.2199539      0.1739174      0.3617869      1.2922738
      6.0500000      0.2085637      0.1642414      0.3587261      1.1202938
      6.1500000      0.1937812      0.1538496      0.4386506      1.3909692
      6.2500000      0.1919885      0.1548021      0.3237204      1.0557994
      6.3500000      0.1861734      0.1512992      0.2875192      0.9767016
      6.4500000      0.1763653      0.1443790      0.2950273      1.0223834
      6.5500000      0.1683490      0.1370841      0.2783239      0.9504311
      6.6500000      0.1620108      0.1344218      0.2557090      0.9087015
      6.7500000      0.1558580      0.1331683      0.2387952      0.8104411
      6.8500000      0.1479141      0.1264758      0.2445366      0.8198986
      6.9500000      0.1417619      0.1217062      0.2545982      0.9399112
      7.0500000      0.1349141      0.1189506      0.2430819      0.8599031
      7.1500000      0.1313545      0.1175492      0.2103624      0.7322824
      7.2500000      0.1253855      0.1133351      0.2038491      0.6966418
      7.3500000      0.1167049      0.1050616      0.2413198      0.8297339
      7.4500000      0.1103530      0.1020440      0.2578016      0.9337034
      7.5500000      0.1070151      0.0981982      0.2029851      0.7346057
      7.6500000      0.1044692      0.0972918      0.1667237      0.6254297
      7.7500000      0.0983094      0.0935950      0.1698509      0.5415423
      7.8500000      0.0944842      0.0908830      0.1598105      0.5168027
      7.9500000      0.0902476      0.0889676      0.1627180      0.6123829
      8.0500000      0.0865386      0.0878131      0.1457820      0.4849195
      8.1500000      0.0814966      0.0836460      0.1530560      0.5548601
      8.2500000      0.0762535      0.0781344      0.1586881      0.5727659
      8.3500000      0.0747662      0.0776898      0.1142857      0.4709796
      8.4500000      0.0706651      0.0730472      0.1242840      0.4907310
      8.5500000      0.0658963      0.0681766      0.1298209      0.5409438
      8.6500000      0.0628377      0.0654177      0.1103568      0.4430780
      8.7500000      0.0605474      0.0635993      0.0893627      0.3290124
      8.8500000      0.0573914      0.0608523      0.0851779      0.3552260
      8.9500000      0.0530068      0.0572712      0.1018200      0.3808112
      9.0500000      0.0491052      0.0529494      0.1006550      0.3405330
      9.1500000      0.0471725      0.0513014      0.0829491      0.3240568
      9.2500000      0.0437751      0.0479827      0.0803558      0.3350402
      9.3500000      0.0413825      0.0458550      0.0652288      0.2505749
      9.4500000      0.0384539      0.0430092      0.0645951      0.2241876
      9.5500000      0.0360515      0.0403015      0.0624883      0.2605512
      9.6500000      0.0340664      0.0392162      0.0495064      0.2098646
      9.7500000      0.0311499      0.0349984      0.0521434      0.2010099
      9.8500000      0.0279557      0.0320952      0.0577282      0.2378359
      9.9500000      0.0249925      0.0272540      0.0515923      0.2175164
