#cell center,       ave flux,        flux dev
      0.0005000      2.0759379      0.2136184
      0.0015000      2.0778969      0.2222178
      0.0025000      2.0697027      0.2082754
      0.0035000      2.0632959      0.1994982
      0.0045000      2.0571079      0.1924705
      0.0055000      2.0515304      0.1861022
      0.0065000      2.0460517      0.1801489
      0.0075000      2.0410035      0.1753923
      0.0085000      2.0361555      0.1722739
      0.0095000      2.0313284      0.1675998
      0.0105000      2.0269481      0.1654571
      0.0115000      2.0225888      0.1625162
      0.0125000      2.0183311      0.1612990
      0.0135000      2.0144344      0.1598174
      0.0145000      2.0102994      0.1581745
      0.0155000      2.0068974      0.1582357
      0.0165000      2.0032110      0.1578692
      0.0175000      1.9992174      0.1572870
      0.0185000      1.9957542      0.1576834
      0.0195000      1.9920186      0.1570484
      0.0205000      1.9886049      0.1568935
      0.0215000      1.9854012      0.1576778
      0.0225000      1.9817288      0.1575902
      0.0235000      1.9785564      0.1581761
      0.0245000      1.9754293      0.1588960
      0.0255000      1.9720821      0.1590373
      0.0265000      1.9687930      0.1601443
      0.0275000      1.9657782      0.1612446
      0.0285000      1.9626590      0.1622154
      0.0295000      1.9594087      0.1631574
      0.0305000      1.9559897      0.1637960
      0.0315000      1.9531457      0.1648571
      0.0325000      1.9502246      0.1661386
      0.0335000      1.9473127      0.1673850
      0.0345000      1.9441753      0.1680839
      0.0355000      1.9412025      0.1694165
      0.0365000      1.9383758      0.1711554
      0.0375000      1.9356022      0.1727188
      0.0385000      1.9325761      0.1742155
      0.0395000      1.9297606      0.1758825
      0.0405000      1.9269641      0.1773955
      0.0415000      1.9240666      0.1789702
      0.0425000      1.9210278      0.1804962
      0.0435000      1.9183349      0.1824072
      0.0445000      1.9153484      0.1839882
      0.0455000      1.9126004      0.1855446
      0.0465000      1.9097824      0.1873487
      0.0475000      1.9072313      0.1890936
      0.0485000      1.9044227      0.1907722
      0.0495000      1.9017014      0.1925636
      0.0505000      1.8989448      0.1942197
      0.0515000      1.8961482      0.1960732
      0.0525000      1.8932577      0.1979825
      0.0535000      1.8905095      0.1995440
      0.0545000      1.8877774      0.2012736
      0.0555000      1.8850837      0.2030298
      0.0565000      1.8825386      0.2047650
      0.0575000      1.8798365      0.2068227
      0.0585000      1.8771876      0.2088373
      0.0595000      1.8745836      0.2107435
      0.0605000      1.8718571      0.2125220
      0.0615000      1.8691185      0.2145104
      0.0625000      1.8664162      0.2164138
      0.0635000      1.8637489      0.2182516
      0.0645000      1.8610589      0.2202100
      0.0655000      1.8583503      0.2222948
      0.0665000      1.8556178      0.2244953
      0.0675000      1.8529764      0.2265073
      0.0685000      1.8503860      0.2286831
      0.0695000      1.8477947      0.2308708
      0.0705000      1.8450664      0.2331234
      0.0715000      1.8424406      0.2351779
      0.0725000      1.8397888      0.2373307
      0.0735000      1.8369847      0.2395018
      0.0745000      1.8343647      0.2419346
      0.0755000      1.8316376      0.2442385
      0.0765000      1.8290715      0.2468037
      0.0775000      1.8264262      0.2490680
      0.0785000      1.8237204      0.2515649
      0.0795000      1.8211839      0.2538890
      0.0805000      1.8184960      0.2562173
      0.0815000      1.8157395      0.2587941
      0.0825000      1.8131920      0.2614617
      0.0835000      1.8105393      0.2638775
      0.0845000      1.8078916      0.2665016
      0.0855000      1.8052904      0.2691804
      0.0865000      1.8026158      0.2718575
      0.0875000      1.8001575      0.2745359
      0.0885000      1.7974859      0.2773285
      0.0895000      1.7949098      0.2801811
      0.0905000      1.7923488      0.2831423
      0.0915000      1.7896374      0.2859720
      0.0925000      1.7870693      0.2888652
      0.0935000      1.7843499      0.2921046
      0.0945000      1.7817274      0.2950707
      0.0955000      1.7790495      0.2982554
      0.0965000      1.7761998      0.3015084
      0.0975000      1.7735964      0.3047022
      0.0985000      1.7708793      0.3079728
      0.0995000      1.7681145      0.3113200
