#cell center,    ave flux mat1,   flux dev mat1,    ave flux mat2,   flux dev mat2
      0.0005000      2.0336988      0.6969762      2.4560896      7.3962176
      0.0015000      2.0354898      0.7054673      2.4595604      7.3719049
      0.0025000      2.0313348      0.7044907      2.4150139      7.2232316
      0.0035000      2.0273240      0.7045347      2.3870433      7.1172030
      0.0045000      2.0244141      0.7037397      2.3513520      6.9999223
      0.0055000      2.0229326      0.7014133      2.3089107      6.8833433
      0.0065000      2.0205693      0.6993194      2.2753938      6.7823440
      0.0075000      2.0172393      0.6991625      2.2548815      6.7111736
      0.0085000      2.0155293      0.6978614      2.2217913      6.6165681
      0.0095000      2.0124354      0.6964616      2.2013653      6.5525664
      0.0105000      2.0109481      0.6958016      2.1709483      6.4780777
      0.0115000      2.0093317      0.6927113      2.1419029      6.3922302
      0.0125000      2.0059950      0.6928225      2.1293566      6.3452611
      0.0135000      2.0043681      0.6922022      2.1050314      6.2826695
      0.0145000      2.0035601      0.6888440      2.0709535      6.2046097
      0.0155000      2.0024074      0.6878867      2.0473076      6.1413301
      0.0165000      2.0008017      0.6875794      2.0248944      6.0842983
      0.0175000      1.9983133      0.6865224      2.0073543      6.0261944
      0.0185000      1.9965731      0.6855944      1.9883836      5.9684760
      0.0195000      1.9950303      0.6828090      1.9649128      5.9143084
      0.0205000      1.9931812      0.6810458      1.9474179      5.8731877
      0.0215000      1.9920385      0.6801898      1.9256653      5.8230883
      0.0225000      1.9911101      0.6774894      1.8972972      5.7586842
      0.0235000      1.9895747      0.6761328      1.8793916      5.7069729
      0.0245000      1.9879277      0.6754600      1.8629436      5.6631118
      0.0255000      1.9843705      0.6763494      1.8614858      5.6354840
      0.0265000      1.9829370      0.6745053      1.8414974      5.5789554
      0.0275000      1.9818121      0.6730056      1.8214735      5.5375985
      0.0285000      1.9799778      0.6709105      1.8067899      5.4920428
      0.0295000      1.9765380      0.6721799      1.8052450      5.4771288
      0.0305000      1.9739303      0.6715284      1.7945241      5.4415451
      0.0315000      1.9727341      0.6705031      1.7768499      5.4080478
      0.0325000      1.9704134      0.6694092      1.7685255      5.3777691
      0.0335000      1.9689282      0.6686887      1.7527729      5.3403968
      0.0345000      1.9669503      0.6674964      1.7392004      5.2994450
      0.0355000      1.9645469      0.6676062      1.7311028      5.2719921
