#cell center,       ave flux,        flux dev
      0.5000000    203.7219086    479.9212180
      1.5000000    205.6753102    373.9395653
      2.5000000    193.5105273    298.1951015
      3.5000000    176.1091849    237.5652125
      4.5000000    155.1289244    198.4489219
      5.5000000    137.0147000    179.5862108
      6.5000000    117.8713350    151.6420722
      7.5000000     96.1017700    125.6924578
      8.5000000     70.7069073     97.9704935
      9.5000000     51.5382299     68.0402395
