#         tranbounds      trancounts        reflbounds        relfcounts
        0.0000167760        0.9980000000        0.0881561510        0.0000000000
        0.0000505280        0.0000000000        0.0887186530        0.0000000000
        0.0000842800        0.0000000000        0.0892811550        0.0000000000
        0.0001180320        0.0000000000        0.0898436570        0.0000000000
        0.0001517840        0.0000000000        0.0904061590        0.0000000000
        0.0001855360        0.0000000000        0.0909686610        0.0000000000
        0.0002192880        0.0000000000        0.0915311630        0.0000000000
        0.0002530400        0.0000000000        0.0920936650        0.0000000000
        0.0002867920        0.0000000000        0.0926561670        0.0000000000
        0.0003205440        0.0000000000        0.0932186690        0.0000000000
        0.0003542960        0.0000000000        0.0937811710        0.0010000000
        0.0003880480        0.0000000000        0.0943436730        0.0000000000
        0.0004218000        0.0000000000        0.0949061750        0.0005000000
        0.0004555520        0.0000000000        0.0954686770        0.0005000000
        0.0004893040        0.0010000000        0.0960311790        0.0000000000
        0.0005230560        0.0000000000        0.0965936810        0.0000000000
        0.0005568080        0.0000000000        0.0971561830        0.0010000000
        0.0005905600        0.0000000000        0.0977186850        0.0015000000
        0.0006243120        0.0000000000        0.0982811870        0.0045000000
        0.0006580640        0.0000000000        0.0988436890        0.0010000000
        0.0006918160        0.0000000000        0.0994061910        0.0015000000
        0.0007255680        0.0000000000        0.0999686930        0.0025000000
        0.0007593200        0.0000000000        0.1005311950        0.0025000000
        0.0007930720        0.0000000000        0.1010936970        0.0035000000
        0.0008268240        0.0000000000        0.1016561990        0.0060000000
        0.0008605760        0.0000000000        0.1022187010        0.0045000000
        0.0008943280        0.0000000000        0.1027812030        0.0130000000
        0.0009280800        0.0000000000        0.1033437050        0.0090000000
        0.0009618320        0.0000000000        0.1039062070        0.0100000000
        0.0009955840        0.0005000000        0.1044687090        0.0100000000
        0.0010293360        0.0000000000        0.1050312110        0.0100000000
        0.0010630880        0.0000000000        0.1055937130        0.0105000000
        0.0010968400        0.0000000000        0.1061562150        0.0135000000
        0.0011305920        0.0000000000        0.1067187170        0.0135000000
        0.0011643440        0.0000000000        0.1072812190        0.0355000000
        0.0011980960        0.0000000000        0.1078437210        0.0180000000
        0.0012318480        0.0000000000        0.1084062230        0.0140000000
        0.0012656000        0.0000000000        0.1089687250        0.0155000000
        0.0012993520        0.0000000000        0.1095312270        0.0210000000
        0.0013331040        0.0000000000        0.1100937290        0.0240000000
        0.0013668560        0.0000000000        0.1106562310        0.0205000000
        0.0014006080        0.0000000000        0.1112187330        0.0265000000
        0.0014343600        0.0000000000        0.1117812350        0.0570000000
        0.0014681120        0.0000000000        0.1123437370        0.0165000000
        0.0015018640        0.0000000000        0.1129062390        0.0250000000
        0.0015356160        0.0000000000        0.1134687410        0.0275000000
        0.0015693680        0.0000000000        0.1140312430        0.0225000000
        0.0016031200        0.0000000000        0.1145937450        0.0275000000
        0.0016368720        0.0000000000        0.1151562470        0.0315000000
        0.0016706240        0.0000000000        0.1157187490        0.0335000000
        0.0017043760        0.0000000000        0.1162812510        0.0610000000
        0.0017381280        0.0000000000        0.1168437530        0.0265000000
        0.0017718800        0.0000000000        0.1174062550        0.0235000000
        0.0018056320        0.0000000000        0.1179687570        0.0215000000
        0.0018393840        0.0000000000        0.1185312590        0.0215000000
        0.0018731360        0.0000000000        0.1190937610        0.0155000000
        0.0019068880        0.0000000000        0.1196562630        0.0235000000
        0.0019406400        0.0000000000        0.1202187650        0.0455000000
        0.0019743920        0.0000000000        0.1207812670        0.0185000000
        0.0020081440        0.0000000000        0.1213437690        0.0230000000
        0.0020418960        0.0000000000        0.1219062710        0.0185000000
        0.0020756480        0.0000000000        0.1224687730        0.0175000000
        0.0021094000        0.0000000000        0.1230312750        0.0115000000
        0.0021431520        0.0000000000        0.1235937770        0.0145000000
        0.0021769040        0.0000000000        0.1241562790        0.0150000000
        0.0022106560        0.0000000000        0.1247187810        0.0210000000
        0.0022444080        0.0000000000        0.1252812830        0.0095000000
        0.0022781600        0.0000000000        0.1258437850        0.0120000000
        0.0023119120        0.0000000000        0.1264062870        0.0115000000
        0.0023456640        0.0000000000        0.1269687890        0.0065000000
        0.0023794160        0.0000000000        0.1275312910        0.0080000000
        0.0024131680        0.0000000000        0.1280937930        0.0085000000
        0.0024469200        0.0000000000        0.1286562950        0.0050000000
        0.0024806720        0.0000000000        0.1292187970        0.0050000000
        0.0025144240        0.0000000000        0.1297812990        0.0045000000
        0.0025481760        0.0000000000        0.1303438010        0.0025000000
        0.0025819280        0.0000000000        0.1309063030        0.0015000000
        0.0026156800        0.0000000000        0.1314688050        0.0025000000
        0.0026494320        0.0000000000        0.1320313070        0.0010000000
        0.0026831840        0.0000000000        0.1325938090        0.0020000000
        0.0027169360        0.0000000000        0.1331563110        0.0010000000
        0.0027506880        0.0000000000        0.1337188130        0.0015000000
        0.0027844400        0.0000000000        0.1342813150        0.0000000000
        0.0028181920        0.0000000000        0.1348438170        0.0020000000
        0.0028519440        0.0000000000        0.1354063190        0.0005000000
        0.0028856960        0.0000000000        0.1359688210        0.0000000000
        0.0029194480        0.0000000000        0.1365313230        0.0000000000
        0.0029532000        0.0000000000        0.1370938250        0.0000000000
        0.0029869520        0.0005000000        0.1376563270        0.0005000000
        0.0030207040        0.0000000000        0.1382188290        0.0005000000
        0.0030544560        0.0000000000        0.1387813310        0.0000000000
        0.0030882080        0.0000000000        0.1393438330        0.0000000000
        0.0031219600        0.0000000000        0.1399063350        0.0000000000
        0.0031557120        0.0000000000        0.1404688370        0.0000000000
        0.0031894640        0.0000000000        0.1410313390        0.0000000000
        0.0032232160        0.0000000000        0.1415938410        0.0000000000
        0.0032569680        0.0000000000        0.1421563430        0.0000000000
        0.0032907200        0.0000000000        0.1427188450        0.0000000000
        0.0033244720        0.0000000000        0.1432813470        0.0000000000
        0.0033582240        0.0000000000        0.1438438490        0.0000000000
