#         tranbounds      trancounts        reflbounds        relfcounts
        0.0000587019        0.8181818182        0.2187910916        0.0000000000
        0.0001763058        0.0609090909        0.2236065999        0.0000000000
        0.0002939097        0.0381818182        0.2284221081        0.0000000000
        0.0004115136        0.0136363636        0.2332376164        0.0000000000
        0.0005291174        0.0100000000        0.2380531246        0.0000000000
        0.0006467213        0.0063636364        0.2428686329        0.0000000000
        0.0007643252        0.0081818182        0.2476841411        0.0000000000
        0.0008819291        0.0063636364        0.2524996494        0.0000000000
        0.0009995329        0.0054545455        0.2573151576        0.0000000000
        0.0011171368        0.0063636364        0.2621306659        0.0000000000
        0.0012347407        0.0027272727        0.2669461741        0.0018181818
        0.0013523446        0.0009090909        0.2717616824        0.0000000000
        0.0014699484        0.0009090909        0.2765771906        0.0000000000
        0.0015875523        0.0027272727        0.2813926989        0.0027272727
        0.0017051562        0.0018181818        0.2862082071        0.0000000000
        0.0018227601        0.0009090909        0.2910237154        0.0000000000
        0.0019403639        0.0018181818        0.2958392236        0.0000000000
        0.0020579678        0.0009090909        0.3006547319        0.0027272727
        0.0021755717        0.0009090909        0.3054702401        0.0009090909
        0.0022931756        0.0000000000        0.3102857484        0.0018181818
        0.0024107794        0.0009090909        0.3151012566        0.0018181818
        0.0025283833        0.0009090909        0.3199167649        0.0027272727
        0.0026459872        0.0000000000        0.3247322731        0.0036363636
        0.0027635911        0.0000000000        0.3295477814        0.0036363636
        0.0028811949        0.0000000000        0.3343632896        0.0081818182
        0.0029987988        0.0009090909        0.3391787979        0.0018181818
        0.0031164027        0.0009090909        0.3439943061        0.0072727273
        0.0032340066        0.0000000000        0.3488098144        0.0090909091
        0.0033516104        0.0009090909        0.3536253226        0.0054545455
        0.0034692143        0.0009090909        0.3584408309        0.0072727273
        0.0035868182        0.0009090909        0.3632563391        0.0136363636
        0.0037044221        0.0009090909        0.3680718474        0.0100000000
        0.0038220259        0.0000000000        0.3728873556        0.0145454545
        0.0039396298        0.0000000000        0.3777028639        0.0136363636
        0.0040572337        0.0000000000        0.3825183721        0.0172727273
        0.0041748376        0.0000000000        0.3873338804        0.0190909091
        0.0042924414        0.0009090909        0.3921493886        0.0145454545
        0.0044100453        0.0000000000        0.3969648969        0.0218181818
        0.0045276492        0.0000000000        0.4017804051        0.0209090909
        0.0046452531        0.0000000000        0.4065959134        0.0245454545
        0.0047628569        0.0000000000        0.4114114216        0.0263636364
        0.0048804608        0.0000000000        0.4162269299        0.0163636364
        0.0049980647        0.0009090909        0.4210424381        0.0272727273
        0.0051156686        0.0009090909        0.4258579464        0.0236363636
        0.0052332724        0.0000000000        0.4306734546        0.0227272727
        0.0053508763        0.0000000000        0.4354889629        0.0381818182
        0.0054684802        0.0009090909        0.4403044711        0.0281818182
        0.0055860841        0.0000000000        0.4451199794        0.0309090909
        0.0057036879        0.0009090909        0.4499354876        0.0172727273
        0.0058212918        0.0000000000        0.4547509959        0.0290909091
        0.0059388957        0.0000000000        0.4595665041        0.0227272727
        0.0060564996        0.0000000000        0.4643820124        0.0345454545
        0.0061741034        0.0000000000        0.4691975206        0.0354545455
