#         tranbounds      trancounts        reflbounds        relfcounts
        0.4358268256        0.0000000000        0.0050768256       86.6666228956
        0.4504806769        0.0000000000        0.0152306769        0.0000000000
        0.4651345282        0.0000000000        0.0253845282        0.0000000000
        0.4797883795        0.0000000000        0.0355383795        0.9848479875
        0.4944422308        0.6824144593        0.0456922308        0.9848479875
        0.5090960821        2.7296578374        0.0558460821        0.0000000000
        0.5237499333        2.0472433780        0.0659999333        0.0000000000
        0.5384037846        0.0000000000        0.0761537846        0.0000000000
        0.5530576359        0.0000000000        0.0863076359        0.9848479875
        0.5677114872        0.0000000000        0.0964614872        0.0000000000
        0.5823653385        0.0000000000        0.1066153385        0.0000000000
        0.5970191897        0.0000000000        0.1167691897        0.0000000000
        0.6116730410        0.0000000000        0.1269230410        0.0000000000
        0.6263268923        0.0000000000        0.1370768923        0.0000000000
        0.6409807436        0.0000000000        0.1472307436        0.0000000000
        0.6556345949        0.0000000000        0.1573845949        0.0000000000
        0.6702884462        0.0000000000        0.1675384462        0.0000000000
        0.6849422974        0.0000000000        0.1776922974        0.0000000000
        0.6995961487        0.6824144593        0.1878461487        0.0000000000
        0.7142500000        0.0000000000        0.1980000000        0.0000000000
        0.7289038513        0.0000000000        0.2081538513        0.0000000000
        0.7435577026        0.0000000000        0.2183077026        0.0000000000
        0.7582115538        0.0000000000        0.2284615538        0.9848479875
        0.7728654051        0.0000000000        0.2386154051        0.0000000000
        0.7875192564        0.0000000000        0.2487692564        0.0000000000
        0.8021731077        0.0000000000        0.2589231077        0.0000000000
        0.8168269590        0.0000000000        0.2690769590        0.0000000000
        0.8314808103        0.0000000000        0.2792308103        0.0000000000
        0.8461346615        0.0000000000        0.2893846615        0.0000000000
        0.8607885128        0.0000000000        0.2995385128        0.0000000000
        0.8754423641        0.0000000000        0.3096923641        0.0000000000
        0.8900962154        0.6824144593        0.3198462154        0.9848479875
        0.9047500667        0.0000000000        0.3300000667        4.9242399373
        0.9194039179        0.0000000000        0.3401539179        0.9848479875
        0.9340577692        0.0000000000        0.3503077692        0.9848479875
        0.9487116205        1.3648289187        0.3604616205        0.0000000000
        0.9633654718        0.0000000000        0.3706154718        0.0000000000
        0.9780193231        0.0000000000        0.3807693231        0.0000000000
        0.9926731744       60.0524724226        0.3909231744        0.0000000000
        1.0073270256        0.0000000000        0.4010770256        0.0000000000
