#         tranbounds      trancounts        reflbounds        relfcounts
        0.0128204154        0.0389999922        0.0076441333        9.0264120666
        0.0384614462        0.1949999610        0.0229326000        1.2427668787
        0.0641024769        0.5849998830        0.0382210667        1.1773580956
        0.0897435077        0.7409998518        0.0535095333        1.2427668787
        0.1153845385        0.6239998752        0.0687980000        0.6540878309
        0.1410255692        0.5069998986        0.0840864667        1.0465405295
        0.1666666000        0.6629998674        0.0993749333        1.3081756618
        0.1923076308        0.6629998674        0.1146634000        0.9811317464
        0.2179486615        0.9359998128        0.1299518667        0.9157229633
        0.2435896923        0.4679999064        0.1452403333        1.2427668787
        0.2692307231        0.6629998674        0.1605288000        0.7849053971
        0.2948717538        0.5069998986        0.1758172667        1.4389932280
        0.3205127846        1.0529997894        0.1911057333        1.2427668787
        0.3461538154        0.9749998050        0.2063942000        1.8968547097
        0.3717948462        0.8579998284        0.2216826667        1.1773580956
        0.3974358769        1.6379996724        0.2369711333        1.5044020111
        0.4230769077        1.0139997972        0.2522596000        2.0930810589
        0.4487179385        1.5599996880        0.2675480667        1.8314459266
        0.4743589692        1.3259997348        0.2828365333        1.4389932280
        0.5000000000        1.3649997270        0.2981250000        2.0276722758
        0.5256410308        1.2479997504        0.3134134667        2.0930810589
        0.5512820615        1.1699997660        0.3287019333        2.1584898420
        0.5769230923        0.9749998050        0.3439904000        1.8314459266
        0.6025641231        1.1309997738        0.3592788667        3.4666655038
        0.6282051538        1.0139997972        0.3745673333        2.5509425406
        0.6538461846        1.0529997894        0.3898558000        2.8779864560
        0.6794872154        1.0919997816        0.4051442667        2.8779864560
        0.7051282462        0.7799998440        0.4204327333        2.6817601067
        0.7307692769        0.9749998050        0.4357212000        2.0930810589
        0.7564103077        1.0139997972        0.4510096667        2.6163513237
        0.7820513385        0.9749998050        0.4662981333        2.8779864560
        0.8076923692        0.7019998596        0.4815866000        1.5698107942
        0.8333334000        0.5849998830        0.4968750667        0.9811317464
        0.8589744308        0.9749998050        0.5121635333        0.3924526985
        0.8846154615        0.7019998596        0.5274520000        0.0654087831
        0.9102564923        0.7019998596        0.5427404667        0.0000000000
        0.9358975231        0.7799998440        0.5580289333        0.0000000000
        0.9615385538        1.2089997582        0.5733174000        0.0000000000
        0.9871795846        5.5379988924        0.5886058667        0.0000000000
        1.0128206154        0.0000000000        0.6038943333        0.0000000000
