#         tranbounds      trancounts        reflbounds        relfcounts
        0.0092306718       25.5666595648        0.0065543897        0.0000000000
        0.0276922154        3.0333324907        0.0196633692        0.0000000000
        0.0461537590        1.6791662002        0.0327723487        0.0000000000
        0.0646153026        1.6249995486        0.0458813282        0.0762835887
        0.0830768462        1.1916663356        0.0589903077        0.2288507662
        0.1015383897        0.7041664711        0.0720992872        0.5339851212
        0.1199999333        0.4333332130        0.0852082667        1.6782389523
        0.1384614769        0.9749997292        0.0983172462        1.2205374198
        0.1569230205        0.4874998646        0.1114262256        2.0596568960
        0.1753845641        0.4874998646        0.1245352051        4.1955973807
        0.1938461077        0.3791665613        0.1376441846        2.5936420172
        0.2123076513        0.4333332130        0.1507531641        2.9750599609
        0.2307691949        0.3249999097        0.1638621436        4.5770153244
        0.2492307385        0.2708332581        0.1769711231        2.0596568960
        0.2676922821        0.4333332130        0.1900801026        2.1359404847
        0.2861538256        0.3791665613        0.2031890821        2.0596568960
        0.3046153692        0.2166666065        0.2162980615        4.7295825019
        0.3230769128        0.2166666065        0.2294070410        2.3647912509
        0.3415384564        0.3791665613        0.2425160205        2.1359404847
        0.3600000000        0.1624999549        0.2556250000        4.9584332681
        0.3784615436        0.3791665613        0.2687339795        2.5936420172
        0.3969230872        0.5958331678        0.2818429590        4.1193137920
        0.4153846308        0.8124997743        0.2949519385        6.4078214542
        0.4338461744        1.5166662454        0.3080609179        3.0513435496
        0.4523077179        2.0583327616        0.3211698974        2.5936420172
        0.4707692615        2.3291660197        0.3342788769        5.6449855668
        0.4892308051        1.1374996840        0.3473878564        1.9833733072
        0.5076923487        2.0041661100        0.3604968359        1.9833733072
        0.5261538923        1.5708328970        0.3736058154        3.7378958483
        0.5446154359        1.2458329873        0.3867147949        0.6865522987
        0.5630769795        0.7583331227        0.3998237744        1.2205374198
        0.5815385231        0.1624999549        0.4129327538        0.2288507662
        0.6000000667        0.1083333032        0.4260417333        0.9916866536
        0.6184616103        0.0541666516        0.4391507128        0.0762835887
        0.6369231538        0.0541666516        0.4522596923        0.3051343550
        0.6553846974        0.0000000000        0.4653686718        0.0762835887
        0.6738462410        0.0000000000        0.4784776513        0.0000000000
        0.6923077846        0.0000000000        0.4915866308        0.0000000000
        0.7107693282        0.0000000000        0.5046956103        0.0000000000
        0.7292308718        0.0000000000        0.5178045897        0.0000000000
