              xiValue                 PDF                     PDF                     PDF    
           -2.964646                 0.000000                 0.000000                 0.000000     
           -2.893939                 0.000000                 0.000000                 0.000000     
           -2.823232                 0.000000                 0.000000                 0.000000     
           -2.752525                 0.000000                 0.000000                 0.028286     
           -2.681818                 0.000000                 0.000000                 0.028286     
           -2.611111                 0.000000                 0.000000                 0.056571     
           -2.540404                 0.000000                 0.028286                 0.042429     
           -2.469697                 0.000000                 0.113143                 0.014143     
           -2.398990                 0.000000                 0.028286                 0.042429     
           -2.328283                 0.000000                 0.099000                 0.028286     
           -2.257576                 0.000000                 0.070714                 0.070714     
           -2.186869                 0.000000                 0.070714                 0.056571     
           -2.116162                 0.000000                 0.028286                 0.042429     
           -2.045455                 0.000000                 0.084857                 0.084857     
           -1.974747                 0.000000                 0.084857                 0.056571     
           -1.904040                 0.000000                 0.028286                 0.070714     
           -1.833333                 0.000000                 0.084857                 0.141429     
           -1.762626                 0.000000                 0.113143                 0.042429     
           -1.691919                 0.000000                 0.099000                 0.042429     
           -1.621212                 0.000000                 0.099000                 0.056571     
           -1.550505                 0.000000                 0.127286                 0.056571     
           -1.479798                 0.000000                 0.042429                 0.084857     
           -1.409091                 0.000000                 0.084857                 0.141429     
           -1.338384                 0.000000                 0.169714                 0.084857     
           -1.267677                 0.000000                 0.099000                 0.127286     
           -1.196970                 0.000000                 0.155571                 0.056571     
           -1.126263                 0.000000                 0.127286                 0.042429     
           -1.055556                 0.000000                 0.240429                 0.141429     
           -0.984848                 0.000000                 0.183857                 0.141429     
           -0.914141                 0.000000                 0.183857                 0.127286     
           -0.843434                 4.129714                 0.127286                 0.169714     
           -0.772727                 0.678857                 0.212143                 0.169714     
           -0.702020                 0.424286                 0.141429                 0.183857     
           -0.631313                 0.452571                 0.141429                 0.141429     
           -0.560606                 0.452571                 0.183857                 0.113143     
           -0.489899                 0.325286                 0.226286                 0.198000     
           -0.419192                 0.381857                 0.155571                 0.240429     
           -0.348485                 0.353571                 0.169714                 0.226286     
           -0.277778                 0.410143                 0.212143                 4.257000     
           -0.207071                 0.353571                 0.325286                 0.297000     
           -0.136364                 0.311143                 0.339429                 0.311143     
           -0.065657                 0.311143                 0.381857                 0.381857     
            0.005051                 0.226286                 4.285286                 0.297000     
            0.075758                 0.212143                 0.254571                 0.212143     
            0.146465                 0.268714                 0.297000                 0.254571     
            0.217172                 0.198000                 0.254571                 0.226286     
            0.287879                 0.268714                 0.268714                 0.169714     
            0.358586                 0.339429                 0.226286                 0.084857     
            0.429293                 0.141429                 0.240429                 0.254571     
            0.500000                 0.183857                 0.254571                 0.155571     
            0.570707                 0.240429                 0.155571                 0.169714     
            0.641414                 0.198000                 0.099000                 0.169714     
            0.712121                 0.240429                 0.169714                 0.226286     
            0.782828                 0.169714                 0.127286                 0.282857     
            0.853535                 0.099000                 0.155571                 0.226286     
            0.924242                 0.183857                 0.169714                 0.198000     
            0.994949                 0.169714                 0.155571                 0.127286     
            1.065657                 0.141429                 0.070714                 0.254571     
            1.136364                 0.169714                 0.099000                 0.240429     
            1.207071                 0.141429                 0.141429                 0.113143     
            1.277778                 0.056571                 0.169714                 0.212143     
            1.348485                 0.155571                 0.084857                 0.141429     
            1.419192                 0.070714                 0.127286                 0.169714     
            1.489899                 0.099000                 0.155571                 0.127286     
            1.560606                 0.056571                 0.014143                 0.226286     
            1.631313                 0.169714                 0.127286                 0.282857     
            1.702020                 0.084857                 0.099000                 0.212143     
            1.772727                 0.127286                 0.014143                 0.042429     
            1.843434                 0.084857                 0.070714                 0.014143     
            1.914141                 0.084857                 0.070714                 0.070714     
            1.984848                 0.070714                 0.070714                 0.042429     
            2.055556                 0.070714                 0.099000                 0.000000     
            2.126263                 0.028286                 0.056571                 0.070714     
            2.196970                 0.070714                 0.099000                 0.014143     
            2.267677                 0.056571                 0.056571                 0.056571     
            2.338384                 0.084857                 0.056571                 0.014143     
            2.409091                 0.070714                 0.070714                 0.000000     
            2.479798                 0.084857                 0.183857                 0.042429     
            2.550505                 0.028286                 0.028286                 0.014143     
            2.621212                 0.028286                 0.000000                 0.014143     
            2.691919                 0.099000                 0.000000                 0.014143     
            2.762626                 0.028286                 0.000000                 0.000000     
            2.833333                 0.028286                 0.000000                 0.000000     
            2.904040                 0.070714                 0.000000                 0.028286     
            2.974747                 0.014143                 0.000000                 0.000000     
            3.045455                 0.028286                 0.000000                 0.000000     
            3.116162                 0.014143                 0.000000                 0.000000     
            3.186869                 0.014143                 0.000000                 0.000000     
            3.257576                 0.014143                 0.000000                 0.014143     
            3.328283                 0.000000                 0.000000                 0.014143     
            3.398990                 0.070714                 0.000000                 0.000000     
            3.469697                 0.000000                 0.000000                 0.014143     
            3.540404                 0.000000                 0.000000                 0.014143     
            3.611111                 0.000000                 0.000000                 0.014143     
            3.681818                 0.000000                 0.000000                 0.000000     
            3.752525                 0.000000                 0.000000                 0.000000     
            3.823232                 0.000000                 0.000000                 0.000000     
            3.893939                 0.000000                 0.000000                 0.000000     
            3.964646                 0.000000                 0.000000                 0.000000     
            4.035354                 0.000000                 0.000000                 0.000000     
