              xiValue                 PDF                     PDF                     PDF                     PDF    
          -10.942211                 0.000000                 0.000000                 0.000000                 0.000000     
          -10.826633                 0.000000                 0.000000                 0.000000                 0.000000     
          -10.711055                 0.000000                 0.000000                 0.000000                 0.000000     
          -10.595477                 0.000000                 0.000000                 0.000000                 0.000000     
          -10.479899                 0.000000                 0.000000                 0.000000                 0.000000     
          -10.364322                 0.000000                 0.000000                 0.000000                 0.000000     
          -10.248744                 0.000000                 0.000000                 0.000000                 0.000000     
          -10.133166                 0.000000                 0.000000                 0.000000                 0.000000     
          -10.017588                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.902010                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.786432                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.670854                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.555276                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.439698                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.324121                 0.000087                 0.000000                 0.000000                 0.000000     
           -9.208543                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.092965                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.977387                 0.000000                 0.000000                 0.000087                 0.000000     
           -8.861809                 0.000087                 0.000000                 0.000087                 0.000000     
           -8.746231                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.630653                 0.000000                 0.000000                 0.000087                 0.000000     
           -8.515075                 0.000000                 0.000087                 0.000000                 0.000000     
           -8.399497                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.283920                 0.000000                 0.000087                 0.000087                 0.000000     
           -8.168342                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.052764                 0.000087                 0.000000                 0.000000                 0.000000     
           -7.937186                 0.000087                 0.000000                 0.000000                 0.000000     
           -7.821608                 0.000000                 0.000087                 0.000000                 0.000000     
           -7.706030                 0.000000                 0.000000                 0.000000                 0.000000     
           -7.590452                 0.000087                 0.000173                 0.000000                 0.000000     
           -7.474874                 0.000087                 0.000000                 0.000000                 0.000000     
           -7.359296                 0.000260                 0.000000                 0.000087                 0.000000     
           -7.243719                 0.000087                 0.000000                 0.000173                 0.000000     
           -7.128141                 0.000000                 0.000000                 0.000000                 0.000000     
           -7.012563                 0.000260                 0.000087                 0.000000                 0.000000     
           -6.896985                 0.000173                 0.000000                 0.000087                 0.000000     
           -6.781407                 0.000087                 0.000087                 0.000260                 0.000000     
           -6.665829                 0.000000                 0.000087                 0.000000                 0.000000     
           -6.550251                 0.000260                 0.000087                 0.000000                 0.000000     
           -6.434673                 0.000000                 0.000087                 0.000173                 0.000000     
           -6.319095                 0.000433                 0.000260                 0.000173                 0.000000     
           -6.203518                 0.000606                 0.000000                 0.000433                 0.000000     
           -6.087940                 0.000173                 0.000346                 0.000433                 0.000000     
           -5.972362                 0.000173                 0.000260                 0.000346                 0.000000     
           -5.856784                 0.000000                 0.000260                 0.000346                 0.000000     
           -5.741206                 0.001038                 0.000519                 0.000260                 0.000000     
           -5.625628                 0.000346                 0.000346                 0.000606                 0.000000     
           -5.510050                 0.000692                 0.000260                 0.000779                 0.000000     
           -5.394472                 0.000865                 0.000346                 0.000519                 0.000000     
           -5.278894                 0.000519                 0.000606                 0.001211                 0.000000     
           -5.163317                 0.000519                 0.000692                 0.000779                 0.000001     
           -5.047739                 0.000865                 0.001211                 0.001298                 0.000001     
           -4.932161                 0.001298                 0.001125                 0.001211                 0.000002     
           -4.816583                 0.001384                 0.000606                 0.002077                 0.000004     
           -4.701005                 0.001384                 0.001298                 0.001471                 0.000006     
           -4.585427                 0.001384                 0.001817                 0.001298                 0.000011     
           -4.469849                 0.001990                 0.001125                 0.002250                 0.000018     
           -4.354271                 0.001903                 0.001817                 0.001903                 0.000030     
